,Comparison,Correlation_Gbm,P_value_Gbm,Correlation_kidney,P_value_kidney,Correlation_Ovar,P_value_Ovar,Correlation_Brca,P_value_Brca,Correlation_Luad,P_value_Luad,Correlation_hnscc,P_value_hnscc,Correlation_Lscc,P_value_Lscc
23,XRN1_proteomics,-0.5116564308207833,2.7720656466474783e-05,,,,,,,,,,,,
24,PCDH17_proteomics,0.5060447136622968,3.907158335792669e-05,,,,,,,,,,,,
25,WAS_proteomics,-0.5019180366341212,4.961122219298403e-05,-0.27981387372305405,0.035336801482573135,,,,,-0.3379086881786271,0.008234425882301702,-0.5034268684782973,1.5637491273875394e-05,,
26,LRP4_proteomics,0.5008960940270109,5.1150253792329034e-05,,,,,,,,,,,,
27,CTSB_proteomics,-0.4968953119173142,5.295599032089138e-05,,,,,0.34104789265687063,0.0021743042615607958,,,,,,
28,NEO1_proteomics,0.4969841203020866,5.295599032089138e-05,,,,,,,,,,,,
29,GPRIN3_proteomics,-0.49783635480482147,5.295599032089138e-05,,,,,,,,,-0.5445271846593618,3.376737807055475e-05,,
30,NPC2_proteomics,-0.498790591960705,5.295599032089138e-05,-0.319133468723472,0.013107362384478804,,,0.27959932332743387,0.013887644727483927,0.29251983063392983,0.025816042054488644,,,,
31,IKBKE_proteomics,-0.5197345389973977,5.295599032089138e-05,,,,,,,,,,,,
32,ARHGAP4_proteomics,-0.4989264348229207,5.295599032089138e-05,,,,,,,,,-0.46641297682921207,7.918808947863144e-05,,
33,PPP1R18_proteomics,-0.4972021285670396,5.295599032089138e-05,,,,,0.3591418178715906,0.0011643545071645693,,,,,,
34,KYNU_proteomics,-0.49551657943951066,5.340628547905504e-05,,,,,0.3735752990183355,0.0006766728414894637,-0.3413634076774579,0.007547840999467527,,,,
35,RGMA_proteomics,0.4950729034600597,5.340628547905504e-05,,,,,,,,,,,,
36,LRRC75A_proteomics,0.49540215858447634,5.340628547905504e-05,,,,,,,,,,,,
37,EPHB3_proteomics,0.49601893686837845,5.340628547905504e-05,,,,,0.36945002605750177,0.0007996123557829057,0.35478893847701815,0.005250639145951005,0.35708004604871196,0.0042277857787732746,,
38,CLIP2_proteomics,0.49327992110355356,5.817126885848339e-05,,,,,0.3475684993808784,0.001729701318525683,,,,,,
39,STAB1_proteomics,-0.4929776568817793,5.817126885848339e-05,,,,,,,-0.30056770558688306,0.021412308751223883,-0.36908121908401414,0.0028144306722026925,,
40,ARHGAP45_proteomics,-0.49256376995601736,5.830020099283064e-05,-0.28620660567064693,0.030098237793474647,,,,,,,-0.44361982477371875,0.0002120961612748784,,
41,HSD17B11_proteomics,-0.49184266467177457,5.9638544446739436e-05,0.27221811074463764,0.041525724246180507,,,0.48166707490232985,3.949215143765648e-06,,,-0.4021456901239445,0.000977612704470388,,
42,SVIL_proteomics,-0.49130315234332644,6.0322885156317034e-05,,,,,0.2852147821475852,0.011898757821742535,,,,,,
43,SOX9_proteomics,0.49067010488451357,6.141432576269325e-05,,,,,0.25291962820799807,0.027892986331954566,,,,,,
44,DOCK10_proteomics,-0.48971507364617484,6.386357170049437e-05,,,,,,,,,-0.42119090046744045,0.0004944115436076137,,
45,MITF_proteomics,-0.5096486438817509,6.619683790963951e-05,,,,,,,,,,,,
46,SH3BP1_proteomics,-0.4884798437640261,6.619683790963951e-05,-0.2661300362175485,0.04694633846214305,,,,,,,,,0.3358657880295925,0.016411209115973352
47,GPHN_proteomics,0.48659911599553907,7.28721806487145e-05,,,,,,,,,,,,
48,DPP6_proteomics,0.4863244796622994,7.28721806487145e-05,,,,,,,,,,,,
49,ENG_proteomics,-0.48563903357264726,7.459794723178736e-05,,,,,,,,,,,,
50,ARHGAP27_proteomics,-0.48444882721818805,7.662197730949509e-05,,,,,,,,,,,,
51,ST14_proteomics,-0.48465923206111367,7.662197730949509e-05,,,,,,,,,,,,
52,OSTF1_proteomics,-0.48429806091463534,7.662197730949509e-05,-0.41734999385293853,0.0006312292775270455,,,,,-0.2755570745759093,0.037398238879025526,,,,
53,COL6A2_proteomics,-0.4827741454334567,7.98401911156248e-05,,,,,,,,,,,,
54,PPP2R3A_proteomics,-0.5037773152130771,7.98401911156248e-05,0.28573499558630844,0.030254145373878563,,,0.4461367763598457,2.710572912021261e-05,0.34848983092184055,0.006180644025506571,,,,
55,APBB1IP_proteomics,-0.4830555483585245,7.98401911156248e-05,,,,,,,-0.2771508905356152,0.036020273280960705,-0.38255526186209043,0.0018300793769951303,,
56,CTSZ_proteomics,-0.48170904715372437,8.176586692694852e-05,,,,,0.2674715286461375,0.01933029092075772,,,-0.2681026850317217,0.04780076944859584,,
57,CSK_proteomics,-0.481564725075465,8.176586692694852e-05,,,,,,,-0.36156774738483016,0.0043861070939354985,-0.38026000953885974,0.001983860160619986,,
58,HAAO_proteomics,-0.48197358928803796,8.176586692694852e-05,,,,,0.4629989162539492,1.0830683594726852e-05,-0.29123233925766445,0.026248249103006806,,,,
59,THEMIS2_proteomics,-0.48106531136839314,8.296000207711621e-05,,,,,0.2867549232942161,0.011345264980017065,,,-0.4010718283582962,0.0009864587093501237,,
60,NFIA_proteomics,0.48042978003337344,8.491035007664669e-05,0.29916349896361516,0.021652189382582277,,,,,,,,,,
61,NIPSNAP2_proteomics,0.47888120867778167,9.144414288701263e-05,,,,,,,0.42155672041097736,0.0005604159023069334,0.2699553552784687,0.04579128165565181,0.36929996425498035,0.005831295583744934
62,LANCL2_proteomics,0.47872313065582084,9.144414288701263e-05,,,,,0.30098089285215235,0.007599309354581045,0.5888080582787203,4.733914417889246e-08,0.7967283641326608,1.9705032109053468e-21,0.5758171115708379,2.040789063405042e-07
63,CD14_proteomics,-0.4746481984106531,0.00010906225221072758,,,,,0.252201482659813,0.028435032361636345,,,,,,
64,RNF130_proteomics,-0.4754253341978527,0.00010906225221072758,,,,,,,,,,,,
65,ARHGAP15_proteomics,-0.4748493488654879,0.00010906225221072758,,,,,,,-0.31571400968009755,0.014962666552364527,-0.3888292496480555,0.0015057699491125738,,
66,BCR_proteomics,0.47380283053930905,0.00010906225221072758,,,,,,,,,,,0.33241166741173844,0.018126124085798154
67,ZYG11B_proteomics,0.4738725020249037,0.00010906225221072758,,,,,,,0.4427123003127549,0.0002240489699880616,,,,
68,ARMT1_proteomics,-0.4735976201606943,0.00010906225221072758,,,,,-0.4737404840606695,6.04525832508329e-06,,,,,,
69,FCGRT_proteomics,-0.4743710606768027,0.00010906225221072758,0.28412346988269976,0.03160791128696737,,,,,,,-0.2972067299371613,0.024079947586357665,,
70,ABCA1_proteomics,-0.47409469035326185,0.00010906225221072758,,,,,,,,,,,,
71,DOCK11_proteomics,-0.47347615851379904,0.00010906225221072758,,,,,0.2883338206186284,0.010854498391950124,,,,,,
72,KCND3_proteomics,0.47461967486681345,0.00010906225221072758,,,,,,,,,,,,
73,PLCG2_proteomics,-0.4724528986019063,0.00011452353581161155,-0.31700907734899086,0.013690649560094779,,,0.2686127470048235,0.01872484309941544,-0.40815336175374417,0.0008688948202442682,-0.3789496501144576,0.002082000095589623,,
74,GGA2_proteomics,-0.47146549139865473,0.00011999428445311436,-0.31584601449872557,0.014183755644858903,,,-0.4555283468975414,1.627604207377511e-05,,,,,,
75,GBA_proteomics,-0.47079605765005716,0.00012025095504716426,,,,,,,0.3739493032962086,0.002923871950384087,,,,
76,SYK_proteomics,-0.4708487814463348,0.00012025095504716426,,,,,,,,,-0.29842822926019574,0.023284050447698348,,
77,PROCR_proteomics,-0.470784064713155,0.00012025095504716426,0.28492465134333134,0.03088683558091619,,,0.33602239239897996,0.0025589740258558564,,,,,,
78,CTNND2_proteomics,0.4700018930346916,0.00012216647890428255,,,,,-0.46810844401715357,8.113510077641087e-06,,,,,,
79,GMIP_proteomics,-0.4698996531247181,0.00012216647890428255,,,,,0.2355271303811929,0.042999349758319885,,,-0.48274154348997167,4.785406829541044e-05,,
80,UAP1_proteomics,-0.4701864303894616,0.00012216647890428255,,,,,0.2758597031829649,0.015384863453886736,,,,,,
81,APC_proteomics,0.46833309134661727,0.00013263358428977293,,,,,,,,,,,,
82,ARHGAP24_proteomics,-0.4678576140628673,0.00013483493351569185,,,,,,,,,,,,
83,CD4_proteomics,-0.46747903299664095,0.00013629232285767694,,,,,,,,,-0.4172324388659395,0.0005663144111505244,,
84,ARHGAP30_proteomics,-0.4670639849246152,0.00013647702685706556,,,,,,,-0.28908539818745693,0.027404142320769907,-0.4656505687590924,7.918808947863144e-05,,
85,NCKAP1L_proteomics,-0.4671625433058982,0.00013647702685706556,,,,,,,,,-0.4107485259871254,0.0007033500244935471,,
86,PI4K2A_proteomics,-0.4666231050334723,0.00013851702691733392,,,,,,,,,,,,
87,PIK3CD_proteomics,-0.4662648948315302,0.00013990804197056106,,,,,,,-0.33176003913986385,0.00967690209446795,,,,
88,SCRN1_proteomics,0.46596514982339154,0.00014025313898467377,,,,,,,,,,,,
89,BLOC1S1_proteomics,-0.4658473823629272,0.00014025313898467377,,,,,,,,,,,,
90,LDLRAP1_proteomics,-0.46540089073266905,0.00014245553008060063,-0.3121391279245416,0.015529567605003451,,,,,,,,,,
91,NPAS3_proteomics,0.46517664566307715,0.00014246388846860696,,,,,,,,,,,,
92,FYB1_proteomics,-0.46503494439218146,0.00014246388846860696,,,,,,,-0.2776553814679984,0.03570133571658137,-0.3708165975212031,0.002720017086427261,,
93,RASAL3_proteomics,-0.4645787127341439,0.00014453169687359734,,,,,,,-0.28262273787687703,0.032020741894985584,-0.42493070884197964,0.00041056276433856147,,
94,ADAP2_proteomics,-0.4644349187011614,0.00014453169687359734,,,,,,,,,,,,
95,FAM19A5_proteomics,0.4640521725822081,0.0001463142528017067,,,,,,,,,,,,
96,PARVG_proteomics,-0.4631967506858821,0.00015233671825977573,,,,,,,,,-0.32543517894943025,0.011236462588543139,,
97,DOCK8_proteomics,-0.4629196820492616,0.00015327424998485203,-0.2884401744883809,0.02839803192066987,,,,,,,-0.4710626597250119,7.293906841199127e-05,,
98,MAN2A1_proteomics,-0.4621881013097853,0.0001584262704709768,,,,,,,,,,,,
99,REL_proteomics,-0.46118506580762286,0.00016638822273050172,,,,,,,,,0.37652670127265897,0.0022231882290159283,,
100,CTNNB1_proteomics,0.4608358789852845,0.00016650849753803302,,,,,0.2675313477073756,0.01931785313478747,0.3474829302100987,0.006288217121847732,,,0.3761510229755433,0.00473531231908499
101,LCP2_proteomics,-0.46088097013207374,0.00016650849753803302,,,,,,,,,-0.3900975548371692,0.0014620618928171015,,
102,DNAJC21_proteomics,-0.4600181607794885,0.00017133233501540575,,,,,,,0.40448488413397254,0.0010028628068246006,,,,
103,EHBP1L1_proteomics,-0.4600736240604506,0.00017133233501540575,,,,,0.4209661340997355,8.742975585438103e-05,,,,,,
104,ABI3_proteomics,-0.4585684170672143,0.00018471056596376485,,,,,,,,,-0.44012798284634724,0.0002212240951460547,,
105,AIF1_proteomics,-0.458124004543946,0.00018476789318522534,-0.3035552725208481,0.01941026779999564,,,,,,,-0.320365730436447,0.012847167661835747,,
106,RAB3IL1_proteomics,-0.4583886434542359,0.00018476789318522534,,,,,0.2669269663442274,0.019640854424324457,,,,,,
107,MLC1_proteomics,0.4580797432124604,0.00018476789318522534,,,,,,,,,,,,
108,FCGR2A_proteomics,-0.45614754384248934,0.00020480681629608843,,,,,0.3810238891579138,0.0005026316837128977,,,,,,
109,PLCB2_proteomics,-0.4539868320636522,0.00022988429802638596,-0.2714086987326587,0.042269580027545134,,,,,-0.29281540435637554,0.025741015638224805,-0.39576258019549754,0.0012253462549807158,,
110,TRAF3IP3_proteomics,-0.45370692647269656,0.00023150709369900742,,,,,,,-0.3030530630380918,0.020429418704418226,-0.30440296349242313,0.020130983581962966,,
111,CTSL_proteomics,-0.45307843241566226,0.0002378654481102188,-0.3129602447108125,0.015278183217456083,,,0.2913654666388807,0.00996602112084314,,,,,,
112,INPP5F_proteomics,-0.452337339773245,0.0002459795761112699,,,,,,,,,,,,
113,MSR1_proteomics,-0.4518416229187484,0.00025065883172182055,,,,,,,,,,,,
114,TBXAS1_proteomics,-0.45170041569799063,0.00025065883172182055,,,,,,,-0.3573043796713608,0.004942452910852397,-0.3694256012711927,0.002795555832411388,,
115,COL1A1_proteomics,-0.4504654484371207,0.000257721735703069,,,,,,,,,,,,
116,COL6A3_proteomics,-0.45069607788066646,0.000257721735703069,,,,,,,,,,,,
117,NAIP_proteomics,-0.450599041426451,0.000257721735703069,,,,,,,,,-0.2963117721929729,0.02438676737823762,,
118,OTULINL_proteomics,-0.450567114368572,0.000257721735703069,,,,,,,,,,,,
119,FGD3_proteomics,-0.45050399709487854,0.000257721735703069,-0.36424051326204687,0.0033867449376406436,,,-0.24162866604548866,0.03712247131858468,-0.2749275677867784,0.03793917723798825,-0.3249135358972597,0.011359554421685071,,
120,RIN2_proteomics,-0.4499853188856706,0.0002610042060574146,,,,,,,0.2897100157853518,0.027088268610175034,,,,
121,RGS12_proteomics,0.44987987377193384,0.0002610042060574146,,,,,-0.30584991285732305,0.006644577580815605,,,,,,
122,GAS2_proteomics,-0.4697398983127423,0.0002610042060574146,,,,,,,-0.4247031694687673,0.031057836371116195,,,,
123,PHLDB2_proteomics,-0.4490432852775595,0.00027036190505987453,,,,,,,,,0.27414138924000747,0.04120013906126212,,
124,TNFAIP8_proteomics,-0.4487992023446223,0.00027192823659185673,,,,,,,,,,,,
125,MYO10_proteomics,0.44747819395886473,0.0002894593407062251,-0.2639205653593605,0.04904531618199468,0.3741184352520944,0.035041323171716154,0.5158009122647153,5.191476967176546e-07,,,0.3706030282877606,0.0027284337939352202,0.29246551074212757,0.04901629466324241
126,VAV1_proteomics,-0.44714281575333015,0.0002894593407062251,-0.2856930653299403,0.030254145373878563,,,,,,,-0.43946391089850745,0.00022644891388804326,,
127,MAN2B1_proteomics,-0.4470946229040094,0.0002894593407062251,-0.27908044093489703,0.03573581908483921,,,,,,,-0.267078893377065,0.04874590895975786,,
128,HEXB_proteomics,-0.4468664074316057,0.0002894593407062251,,,,,,,,,,,,
129,FCGR3A_proteomics,-0.44714792640110335,0.0002894593407062251,,,,,0.25510584314748175,0.033106062121141776,,,-0.341007632865645,0.00712512853603285,,
130,IL18_proteomics,-0.44685949345758735,0.0002894593407062251,,,,,,,,,,,,
131,LIG4_proteomics,-0.4459812151698548,0.00029866057508575665,,,,,0.2788570460164722,0.014174638614156531,,,,,,
132,GAA_proteomics,-0.44589844827073527,0.00029866057508575665,,,,,,,,,,,,
133,B4GALT1_proteomics,-0.44594460701449457,0.00029866057508575665,,,,,,,,,,,,
134,ST6GAL1_proteomics,-0.4456766956565269,0.00030015367353941163,,,,,0.3587291497615946,0.001619451059094822,,,-0.4310267641993515,0.00032548784865754865,,
135,EMILIN3_proteomics,0.4448454995715303,0.0003102355385519684,,,,,,,,,,,,
136,TBC1D2B_proteomics,-0.44478800074311653,0.0003102355385519684,,,,,,,,,,,,
137,RNASET2_proteomics,-0.4446926822173949,0.0003102355385519684,,,,,,,,,-0.3148212858831092,0.015120896874254008,,
138,ACSL1_proteomics,-0.4430988657917541,0.00033658784260935475,,,,,0.37763635899490744,0.0005804958636698632,,,,,,
139,TMX2_proteomics,0.44247121596391603,0.00034359245912801863,,,,,,,,,,,,
140,AFAP1L1_proteomics,0.44247019495352147,0.00034359245912801863,,,,,,,,,,,,
141,PTBP3_proteomics,-0.4421726263221297,0.00034684433500291984,,,,,,,,,,,,
142,HLA-DMB_proteomics,-0.4420053958513874,0.0003476225330120655,,,,,,,,,-0.29054674900402244,0.02839009010328756,,
143,CTSS_proteomics,-0.44130470634471874,0.00035636965045418616,,,,,0.25104127479929383,0.02926393899453424,,,-0.4785301637263124,5.44680563446764e-05,,
144,GPSM3_proteomics,-0.4413199028416614,0.00035636965045418616,,,,,,,-0.3038027692637732,0.02011221370844722,-0.4163502879889822,0.0005880500381180913,,
145,B3GLCT_proteomics,0.43973627038719365,0.00038156649596622605,,,,,0.31883270737555147,0.00444933955710828,,,,,,
146,TYROBP_proteomics,-0.439821091408167,0.00038156649596622605,,,,,,,,,,,,
147,CD300A_proteomics,-0.43969280266112104,0.00038156649596622605,,,,,0.2809979603695153,0.01682916161167156,,,,,,
148,PITPNC1_proteomics,0.4389280514887456,0.00039001583342575084,,,,,,,,,,,,
149,NF1_proteomics,0.4390237262660885,0.00039001583342575084,,,,,,,,,,,,
150,ADGRG1_proteomics,0.43904986726272655,0.00039001583342575084,,,,,,,,,,,,
151,TFRC_proteomics,0.43876522364762793,0.0003902649041866292,0.3148480709301581,0.01455484111601433,,,0.2582450308346096,0.02442377748444774,,,0.3265898288225306,0.010921534088523671,,
152,TPMT_proteomics,-0.43867625407667193,0.0003902649041866292,,,,,,,,,,,,
153,GMFG_proteomics,-0.4382236838709577,0.0003970096845292139,,,,,,,-0.41759865020681786,0.0006344534339898207,-0.33682161247322634,0.00806502260850314,,
154,TES_proteomics,-0.43812580224901176,0.0003970096845292139,,,,,0.4835245762745326,3.5542920119415016e-06,,,,,,
155,STXBP2_proteomics,-0.4378059058846811,0.0004014211901692199,,,,,-0.24283220617397933,0.036000900070192784,,,,,,
156,ABI2_proteomics,0.43736669249384297,0.00040386597530738113,,,,,,,,,,,,
157,FCER1G_proteomics,-0.43757752821444584,0.00040386597530738113,,,,,,,,,,,,
158,PCDH19_proteomics,0.43734566119664203,0.00040386597530738113,,,,,,,,,,,,
159,VAMP8_proteomics,-0.43717980024779174,0.00040498788368411806,,,,,,,,,,,,
160,ELOVL2_proteomics,0.4369619362258975,0.00040727904918087376,,,,,,,,,,,,
161,CXXC5_proteomics,0.4368327665975318,0.0004076225105051351,,,,,-0.4802514552658748,4.276846530988323e-06,,,,,,
162,RCSD1_proteomics,-0.43603279507538234,0.0004231353975116075,-0.3174526787415453,0.013633675440386931,,,,,-0.3771271851475395,0.0026098352480285036,-0.46585790688077117,7.918808947863144e-05,,
163,TRIM9_proteomics,0.4355361097258303,0.0004320458212714068,0.27028522264524424,0.04340899284923511,,,,,,,,,,
164,OTULIN_proteomics,-0.4348584303290468,0.0004428009654600601,,,,,0.3379504609706766,0.0024095131653578557,,,,,,
165,NEDD4_proteomics,-0.43492452558367484,0.0004428009654600601,0.3212187054614702,0.012310205030730449,,,,,,,,,,
166,SLC1A4_proteomics,0.4343277691531323,0.00045129444499986273,,,,,,,,,,,,
167,ARHGDIB_proteomics,-0.43428547405214163,0.00045129444499986273,-0.27120346792733213,0.04230739996054771,,,,,,,-0.4172130431511783,0.0005663144111505244,,
168,DOK3_proteomics,-0.43312664513707677,0.0004775474988724205,,,,,0.24673047242359172,0.03266436337974134,,,-0.32115211217758893,0.012624277197741299,,
169,TPD52L2_proteomics,-0.43283322233579696,0.0004822909065837083,,,,,0.3409409787037139,0.0021826171732023687,,,,,,
170,SNAPIN_proteomics,-0.4324808050285488,0.0004859890908923352,,,,,,,,,,,,
171,NLGN3_proteomics,0.4324734096342814,0.0004859890908923352,,,,,,,,,,,,
172,CHDH_proteomics,0.4323313546635734,0.00048687937358863297,,,,,-0.2564700485671748,0.025394807519189214,,,-0.3060475383810075,0.01929297058567422,,
173,AMPD3_proteomics,-0.43196184325911535,0.0004937734242484634,,,,,,,,,,,,
174,PIK3AP1_proteomics,-0.4317342235852393,0.0004969782153947338,,,,,0.3330788378195872,0.002825211039960316,,,-0.4734454453412432,6.920083554968585e-05,,
175,ARPC1B_proteomics,-0.4314725422377172,0.0004997861401183348,,,,,0.29037027764947687,0.010267339696863486,,,,,,
176,TNS3_proteomics,-0.4313928875879236,0.0004997861401183348,,,,,0.3760334098343505,0.0006146716229498192,,,,,,
177,ARHGAP22_proteomics,-0.431206827760685,0.0004997861401183348,,,,,,,,,,,,
178,WDFY4_proteomics,-0.4312759004135461,0.0004997861401183348,-0.27234973944955376,0.04137900359317034,,,,,-0.32135192591957873,0.012824779352561518,-0.37638876938568167,0.0022255289953415987,,
179,CSPG5_proteomics,0.43072866994431275,0.0005070584604989565,,,,,,,,,,,,
180,MYO1F_proteomics,-0.43077658405344676,0.0005070584604989565,,,,,,,,,-0.375708563229194,0.002290563474064643,,
181,YWHAE_proteomics,0.4301541477005727,0.0005199711539343954,,,,,,,,,,,,
182,DUSP23_proteomics,-0.4299489119185799,0.0005228171543174354,,,,,,,,,,,,
183,DOCK2_proteomics,-0.42884069263366176,0.0005515438361977945,-0.2937557130997037,0.024582089037273262,,,,,-0.2917019737883516,0.02605458420380676,-0.4400847028736206,0.0002212240951460547,,
184,PGM1_proteomics,0.4282548716357236,0.0005658753344241051,0.3007905203364999,0.02076282513275166,0.41256127411656374,0.017747344959194996,0.3484970962062566,0.0016777444791395604,,,,,,
185,FHL2_proteomics,-0.4281008737367134,0.0005674437240973352,,,,,,,,,0.3478585302808238,0.005682113211082706,,
186,CDKN2C_proteomics,0.42719733165047696,0.0005860091538203678,,,,,0.24483787271217652,0.03421206776507561,-0.2702152414304878,0.04120672410848737,,,,
187,PAWR_proteomics,-0.4271896496512475,0.0005860091538203678,,,,,,,,,,,,
188,CTBS_proteomics,-0.4271931207859735,0.0005860091538203678,,,,,,,,,,,,
189,IL16_proteomics,-0.4265713290680917,0.0006022555148771912,-0.3460523626953505,0.006030142090153518,,,,,-0.39705572318527155,0.0013411459796756344,-0.47871634249808104,5.44680563446764e-05,,
190,ALDH7A1_proteomics,0.4262293120626578,0.0006036735136249397,,,,,,,,,,,,
191,DGKZ_proteomics,0.4263280321554888,0.0006036735136249397,,,,,,,,,,,,
192,UPP1_proteomics,-0.4262618708725739,0.0006036735136249397,,,,,0.4798149058538358,4.3490039899149465e-06,0.41254835496691994,0.0007370028792397366,0.26790222075797737,0.047898838470352506,,
193,HCK_proteomics,-0.4260010610637584,0.0006047032155735097,,,,,0.4023290968371758,0.00020158657719123807,,,-0.2972727750269033,0.024079947586357665,,
194,FCGR2B_proteomics,-0.42602763013464,0.0006047032155735097,,,,,0.3894107843283814,0.00035861539373111895,,,-0.2749177918882426,0.040527338652260575,,
195,PLAUR_proteomics,-0.4256393559046623,0.000604722455925532,,,,,0.4674275936294324,8.405656973657862e-06,,,0.27850352709489623,0.037271261654293786,,
196,CLDN10_proteomics,0.42562711333320014,0.000604722455925532,-0.3569159965309966,0.020120109047849097,,,,,,,,,,
197,GAB1_proteomics,0.4258739014606532,0.000604722455925532,,,,,,,,,,,,
198,SERPINB8_proteomics,-0.4256142933763225,0.000604722455925532,,,,,,,,,,,,
199,TMED5_proteomics,-0.42530730301280817,0.0006114795598468408,0.26476665432984037,0.04833543646986932,,,,,,,,,,
200,PTPRC_proteomics,-0.42495788600673146,0.0006196952281022098,,,,,,,,,-0.4023965480766871,0.0009771626078221073,,
201,CPNE2_proteomics,0.4248405049107025,0.0006197765174232833,,,,,0.4723247240200951,6.424218585947513e-06,,,,,,
202,HGF_proteomics,-0.4438754601660816,0.0006197765174232833,,,,,,,-0.40769311631799887,0.0008763495127422368,,,,
203,WIPF1_proteomics,-0.4238181973608884,0.0006449551485997644,-0.40272306708487204,0.000991136763115244,,,0.23230424680781514,0.04629351280931206,-0.2875829935780019,0.028362760544576055,-0.4332703408113532,0.00029595865713599913,,
204,PTPN18_proteomics,-0.4238355954905362,0.0006449551485997644,,,,,,,,,-0.42586986426033724,0.0003965229495264623,,
205,BTK_proteomics,-0.4233800315892208,0.0006552046936406375,,,,,,,-0.2780027066666871,0.03552086719391345,-0.45487270981593275,0.0001269550606543366,,
206,ARPC3_proteomics,-0.42333025849723027,0.0006552046936406375,-0.26378682117919183,0.04904531618199468,,,0.311783911240739,0.005540876318952499,-0.3016987234555035,0.020823706408873377,,,,
207,NAGA_proteomics,-0.4229703523952185,0.0006644065076772862,,,,,,,,,,,,
208,AHR_proteomics,-0.42276073166758277,0.0006684876364910608,,,,,0.26547263740458565,0.020389193330628684,0.38185635847638333,0.002249000591211741,,,,
209,GIMAP1-GIMAP5_proteomics,-0.4226368649588044,0.000669608942427052,,,,,,,-0.26666447246282776,0.044871400595113825,-0.449682807240268,0.00016401687143209238,,
210,DPYD_proteomics,-0.4222140537304998,0.0006812560959975891,-0.332345817166089,0.009054184367369829,,,0.27445732401783807,0.015968950956985965,,,,,,
211,SULF1_proteomics,-0.4410860997763089,0.0006831708420746183,,,,,,,,,,,,
212,NANS_proteomics,-0.42142979542179404,0.0006854436107224183,,,,,-0.2776885015782386,0.014610504890062496,,,,,-0.29287627576797015,0.04857008834951992
213,STAMBPL1_proteomics,-0.42122833188373415,0.0006854436107224183,,,,,,,,,,,,
214,MYO1G_proteomics,-0.4211167115526103,0.0006854436107224183,,,,,0.24009101226892157,0.03859010608759574,,,-0.3895294803242211,0.0014695574477046802,,
