,Difference_In_Median,P_Value,cancer_type,comparison,size
GRPEL1,-0.5538,0.025599507568583896,endo,GRPEL1,0.36651821632838183
HACE1,0.3925,0.037604009081856696,endo,HACE1,0.3280644609752813
HSPA9,-0.3281,0.04010962433658796,endo,HSPA9,0.3216138965073306
IDH3A,-0.4116000000000001,0.00677744346882536,endo,IDH3A,0.49941553176331954
IDH3B,-0.4612000000000001,0.006565577033582305,endo,IDH3B,0.5025914879647106
KRT14,,,endo,KRT14,
LAMA1,0.7656499999999999,0.011819519379746995,endo,LAMA1,0.44380029294428197
MAPKAPK5,,,endo,MAPKAPK5,
MARK1,0.4841000000000001,0.031050903601406356,endo,MARK1,0.3472127369531521
MDH2,-0.3541,0.018780816913186008,endo,MDH2,0.39749193070433925
MELTF,0.6209999999999999,0.0027227041853870267,endo,MELTF,0.5906129706745575
MRC2,0.492,0.019303103377076213,endo,MRC2,0.39474893992580073
MRPL1,-0.4689,0.016136268796805856,endo,MRPL1,0.41266858202633544
MRPL18,-0.3861,0.006510382783065654,endo,MRPL18,0.5034357025248231
MRPL48,-0.3165,0.007019225897016275,endo,MRPL48,0.49591023381050225
MRPS10,-0.3078,0.03929693822194436,endo,MRPS10,0.32366086709804603
MRPS12,-0.3193,0.008011143679960173,endo,MRPS12,0.48269217465760555
MRPS15,-0.3161,0.01701267640879916,endo,MRPS15,0.40737965416946603
MRPS16,-0.39378,0.012729778734654106,endo,MRPS16,0.43638112479736124
MRPS18B,-0.3012,0.04698184474923015,endo,MRPS18B,0.30579940338294354
MRPS26,-0.3008,0.009685540323500923,endo,MRPS26,0.46371211939528906
MRPS35,-0.3415,0.006581758912220786,endo,MRPS35,0.502345325747871
NDUFAF1,,,endo,NDUFAF1,
OXNAD1,-0.3405,0.014304706699415278,endo,OXNAD1,0.4247166656051653
PET117,-0.374,0.009157439955958585,endo,PET117,0.469318862014868
PRSS8,,,endo,PRSS8,
TFAM,-0.4305,0.035448870036928905,endo,TFAM,0.3339663901351819
THY1,0.4366,0.04306360158570688,endo,THY1,0.31450771494450147
TST,-0.6735,0.02505454825030589,endo,TST,0.3686699901054055
VCAN,0.6930000000000001,0.04138158037528534,endo,VCAN,0.31849194156278277
ATAD3A,0.90185,0.003493584592827842,brca,ATAD3A,0.5656826965916043
ATP5S,0.64845,0.017750438533159888,brca,ATP5S,0.40313450572723875
C1QBP,0.5943,0.04438597426249581,brca,C1QBP,0.3114831754438123
CALML3,-0.6472500000000001,0.0018629527250351196,brca,CALML3,0.6285592563403861
CHCHD2,0.34315,0.04011408056719072,brca,CHCHD2,0.32160278699646294
CHTF8,1.07865,0.01792144046518209,brca,CHTF8,0.40217574915642224
COL5A1,-2.07625,0.0385128787554749,brca,COL5A1,0.3256762580496223
COX6A1,0.37605,0.02781887107957876,brca,COX6A1,0.35820406727646026
DNAJC19,0.6445500000000001,0.004532387336475327,brca,DNAJC19,0.5396506472461561
EMILIN1,-1.00625,0.03166960511846143,brca,EMILIN1,0.34523978871401584
ENO2,1.47275,0.009106451018334124,brca,ENO2,0.4698772213498817
ETFRF1,0.7133,0.02365748925151872,brca,ETFRF1,0.37440755439191464
FAHD1,0.53345,0.030970237355018,brca,FAHD1,0.3474728620996107
FAM160A1,1.2083,0.002811951135262785,brca,FAM160A1,0.5873876682402775
FMC1,1.01545,0.0133470187917474,brca,FMC1,0.43164622305531947
GRPEL1,0.76135,0.015302509863891159,brca,GRPEL1,0.4179738420645814
HACE1,-0.55455,0.015721896791721562,brca,HACE1,0.4152700838209046
HSPA9,0.8220000000000001,0.010835753769720327,brca,HSPA9,0.4524904078372919
IDH3A,1.0118,4.7603606461329104e-05,brca,IDH3A,0.9952602033602689
IDH3B,0.7713,0.002960372647392132,brca,IDH3B,0.5822440124180968
KRT14,-0.72305,0.022368294898506915,brca,KRT14,0.380011072907152
LAMA1,-0.6953499999999999,0.02486512536740981,brca,LAMA1,0.36942890449053706
MAPKAPK5,-0.3274,0.030406139197716512,brca,MAPKAPK5,0.3493110743665265
MARK1,,,brca,MARK1,
MDH2,1.12695,0.0072770937598694374,brca,MDH2,0.49230237052877357
MELTF,,,brca,MELTF,
MRC2,-1.14675,0.04998338760823181,brca,MRC2,0.29960645765958954
MRPL1,0.8068,0.0014839143628205154,brca,MRPL1,0.6513071842896323
MRPL18,0.7389,0.0017003162518891002,brca,MRPL18,0.6376941014698498
MRPL48,0.64825,0.01840727517209633,brca,MRPL48,0.39950093027252975
MRPS10,0.7462,0.040604101751597454,brca,MRPS10,0.3203886189113002
MRPS12,0.7859999999999999,0.037613754629691236,brca,MRPS12,0.3280385480860695
MRPS15,0.5758,0.014646849784845444,brca,MRPS15,0.4223529998392867
MRPS16,0.7834,0.01823246365100075,brca,MRPS16,0.4004551556745567
MRPS18B,0.6473000000000001,0.025389357333706813,brca,MRPS18B,0.36734251953737357
MRPS26,0.6479,0.00531753902018176,brca,MRPS26,0.5236744672847833
MRPS35,0.62455,0.022719306209164517,brca,MRPS35,0.37845402221639
NDUFAF1,0.8933,0.001974129190056906,brca,NDUFAF1,0.6227627894288165
OXNAD1,0.6424,0.00591822175733729,brca,OXNAD1,0.512971925403714
PET117,0.9847,0.02988326984407445,brca,PET117,0.3510456492172211
PRSS8,-1.0316,0.0422404396842626,brca,PRSS8,0.31643772304464834
TFAM,0.5837,0.0032469707064877555,brca,TFAM,0.5730032807618245
THY1,-0.9036,0.03461514079945952,brca,THY1,0.3363464097275284
TST,0.74975,0.02915147101117338,brca,TST,0.35352499039537855
VCAN,-1.4450000000000005,0.04467594772597151,brca,VCAN,0.310832000437382
