Proteomics,Lscc_P_Value,Lscc_Median
VDAC2,0.5247312897840085,-1.0635
CCDC6,0.5353375309936887,-0.5317000000000001
LIN52,0.5353375309936887,0.4952
TASP1,0.5353375309936887,-0.40895
R3HDM1,0.5353375309936887,0.47095
CCT3,0.5353375309936887,0.28875000000000006
PCDH15,0.5353375309936887,-0.8963
CNDP2,0.5353375309936887,0.5179
SON,0.5353375309936887,0.38985000000000003
TRPC5,0.5353375309936887,-0.9384
GLUD1,0.5684892531569538,-0.5413
GARS_isoform_1,0.5684892531569538,0.261
STN1,0.5684892531569538,-0.23119999999999996
UNC13B,0.5684892531569538,0.4588500000000001
GRTP1,0.5684892531569538,-1.3277
CCT7,0.5684892531569538,0.20724999999999996
ATAD1_isoform_1,0.5684892531569538,-1.9687999999999999
DHX38,0.5684892531569538,-0.39790000000000003
IGF2R,0.5684892531569538,0.69755
TAX1BP1,0.5684892531569538,0.39975
USP13,0.5684892531569538,0.7994
CUTC,0.5684892531569538,-0.44585
IRAK4,0.5684892531569538,0.3811
CCSER2,0.5700503988624953,-0.43715
MFN2,0.572214111121104,-0.15159999999999998
NPLOC4,0.5973946222739346,0.43624999999999997
UGGT1,0.6032678417762852,0.5137
TYW1,0.6032678417762852,0.16110000000000002
UBE2K,0.6073758586246685,0.2822
TIMM8B,0.6138039527069392,0.6689999999999999
METTL2A,0.6138039527069392,0.67825
PCBD1,0.6146933111258762,-0.65455
PDZD8,0.6146933111258762,-0.4790500000000001
GHITM,0.6146933111258762,-1.0304
RNF166,0.6146933111258762,-0.41090000000000004
IFFO2,0.6146933111258762,-0.9955
ZDHHC2,0.6146933111258762,0.61815
MTCH1,0.6146933111258762,-0.4654
USP31,0.6146933111258762,-0.9594
GRHPR,0.6146933111258762,0.5726500000000001
GTF2A2,0.6372282855230766,-0.5162
CHMP6,0.6429844405216615,0.395
PLCE1,0.6429844405216615,-0.6771500000000001
UBASH3B,0.6499194145263848,-0.8299
PSMD9,0.6499194145263848,-0.2897
RPS6KA4,0.6499194145263848,-0.60615
KYAT1,0.6499194145263848,-0.6900000000000001
SGTA,0.6775409908297914,0.3916
CCDC186,0.6775409908297914,-0.4173
PPDPF,0.6965799448522509,-0.5912000000000001
CTDSP1,0.6965799448522509,-0.3176
KIAA0556,0.6965799448522509,-0.4738
LCOR,0.6965799448522509,-1.0183499999999999
SLC7A5,0.6965799448522509,-1.4077
PPA1,0.6965799448522509,-0.45115
ABRAXAS2,0.6965799448522509,-0.34735
CMIP,0.6965799448522509,-0.7445
DGCR2,0.6965799448522509,-0.3346
PDE12,0.6965799448522509,0.05185000000000001
ATE1,0.6965799448522509,-0.48064999999999997
PPIP5K1,0.7057284945162845,-0.5758
PHLDA3,0.7066663107903902,-0.73475
COMTD1,0.7110394809189036,-0.4946999999999999
TM9SF3,0.7110394809189036,-0.80555
NDE1,0.7110394809189036,-0.64195
VWA3B,0.7110394809189036,-1.67395
WWOX,0.7110394809189036,-0.698
MMP10,0.7110394809189036,-2.5886500000000003
NHSL2,0.7207343891856541,-0.3729999999999999
ARL3,0.7207343891856541,-0.5396
ZNF503,0.7207343891856541,-0.20665
TCP1,0.7207343891856541,0.3531000000000001
CD59,0.7207343891856541,-0.33845000000000003
CASP6,0.7358178336770361,0.27285
UBAP1,0.754506223141434,0.29695
TRAPPC13,0.754506223141434,0.32384999999999997
CCT4,0.754506223141434,0.27954999999999997
ZFYVE27,0.754506223141434,-0.5136000000000001
INPP5J,0.754506223141434,0.41109999999999997
MAFF,0.754506223141434,-0.51525
HNRNPH3_isoform_1,0.754506223141434,-0.37185
ARHGEF2,0.754506223141434,0.29580000000000006
HAUS3,0.754506223141434,0.41635
POC1B,0.754506223141434,-0.56175
RBM15B,0.754506223141434,0.21895
CHUK,0.754506223141434,-0.43600000000000005
MICU2,0.754506223141434,-0.48845000000000005
FASN,0.754506223141434,0.46435000000000004
PSPC1,0.754506223141434,0.2185
C7orf26,0.754506223141434,0.3149
MT1F,0.754506223141434,-1.1075
PLAA,0.754506223141434,0.28865
TSR3,0.7653079994960702,-0.5785499999999999
TEX264,0.7653079994960702,0.36424999999999996
ISCU,0.7653079994960702,-0.6414500000000001
GNPTAB,0.7725726386516918,0.48724999999999996
IRGQ,0.7725726386516918,0.42630000000000007
NHS,0.7725726386516918,-0.5569999999999999
ADAMDEC1,0.7725726386516918,1.0267
JMJD1C,0.7725726386516918,-0.29235
FAM120C,0.7725726386516918,-0.8164499999999999
RUFY2,0.7725726386516918,-0.19554999999999995
ARL6IP6,0.7725726386516918,-0.30565
GRB10,0.7725726386516918,0.8427499999999999
UNC5B,0.7730819289053679,-0.4789
TMC7,0.7730819289053679,-1.847
CMC2,0.7811229481211425,-0.23525000000000001
NARS,0.7811229481211425,0.6342500000000001
OTP,0.7845486804976814,-1.4618
CACUL1,0.7845486804976814,-0.5428
CCT6A,0.7845486804976814,0.21624999999999997
MORC3,0.7845486804976814,-0.33749999999999997
EFHC2,0.7845486804976814,-1.1741000000000001
SSBP2,0.7845486804976814,-0.8241999999999999
ZNF396,0.7845486804976814,1.0952
POP4,0.7927358507381469,0.46520000000000006
RRP12,0.7950573680856922,-0.5810500000000001
UXS1,0.7950573680856922,0.27125
PANK3,0.8013878212801835,0.5568
FBXW9,0.8013878212801835,0.28685
FCGBP,0.8013878212801835,-0.8260500000000001
TRMT2B,0.8013878212801835,-1.0278999999999998
FIP1L1,0.8013878212801835,0.2495
C2orf68,0.8013878212801835,0.3277
COLGALT2,0.8013878212801835,0.60145
RAB3GAP1,0.8013878212801835,0.2758
ADD1,0.8013878212801835,-0.38849999999999996
COA5,0.8013878212801835,-0.9462999999999999
CCT2,0.8013878212801835,0.3796999999999999
ADD1_isoform_1,0.8013878212801835,-0.5524000000000001
SHOC2,0.8013878212801835,-0.25585
PPIF,0.8013878212801835,-0.9275500000000001
ANO1,0.8013878212801835,-1.5426499999999999
NMT2,0.8013878212801835,-0.4171500000000001
EIF5B,0.8013878212801835,0.3304999999999999
MICU1,0.8013878212801835,-0.5282
HIST1H1A,0.8017622239296093,-2.1439500000000002
INPP5F,0.8019003495642343,-0.48945
CLTB,0.8090674053711974,-0.6073
HAUS6,0.8090674053711974,0.31655
CST3,0.8122159143967939,-0.45940000000000003
SDK2,0.8159480893122716,-0.8246
CTNND1,0.8207499909539634,-0.5283
AFAP1L2,0.8335689030271263,-1.18925
QTRT2,0.8407226053894649,0.45365
PIGM,0.8437583036391225,0.6983
SCFD2,0.8565644598596797,0.18030000000000002
TRIOBP,0.8565644598596797,-0.08625000000000005
FAM91A1,0.8565644598596797,0.14679999999999993
CISD1,0.8565644598596797,-0.618
TRAPPC11,0.8565644598596797,0.23874999999999996
SHARPIN,0.8565644598596797,-0.4103
LSS,0.8565644598596797,0.13179999999999992
FADS2,0.8565644598596797,1.0366499999999998
CUEDC2,0.8565644598596797,-0.6281499999999999
GARS,0.8565644598596797,0.2047
MTHFSD_isoform_1,0.8565644598596797,-0.5192
FAM133B,0.8565644598596797,-0.27849999999999997
NBAS,0.8599913974356864,0.27795000000000003
TXNDC9,0.8599913974356864,0.3071
ACSL1,0.8599913974356864,0.6856499999999999
DDX50,0.86381106906628,-0.47509999999999997
FDPS_isoform_1,0.8666452795722077,0.12745
PPHLN1,0.8666452795722077,-0.41569999999999996
EDC3,0.8666452795722077,0.22495
CROCC,0.8666452795722077,-0.6594999999999999
MARVELD1,0.8666452795722077,-0.7276
FAT2,0.8666452795722077,-1.2974999999999999
AVL9,0.8666452795722077,0.09314999999999996
RASGRP4,0.8741888547946253,-0.4864499999999998
TIAL1,0.8781105180169172,-0.3017
CLK4,0.879250794828471,-0.7222999999999999
SGPL1,0.879250794828471,-0.16065000000000007
IRS1,0.879250794828471,-0.7732
MT1B,0.879250794828471,-1.7973
FAM45A,0.8867530306930075,-0.22415
DDX39A,0.8886769504577887,0.3992
TMEM79,0.8886769504577887,-1.32945
HK2,0.8886769504577887,0.3432
BICRAL,0.8917509980334579,-0.55645
STK32C,0.8942535584267578,-0.78675
TUB,0.9004995758160057,-0.8401500000000002
GOT1,0.9063307630891868,-0.60655
CNOT7,0.9063307630891868,0.35165
HNRNPH3,0.9063307630891868,-0.30395
CCDC85B,0.9063307630891868,-0.6708
PPM1L,0.9068573747739916,0.8088
FAM50B,0.9068573747739916,-0.5447000000000001
IGHMBP2,0.9068573747739916,-0.07165
IGF2BP3,0.9068573747739916,0.8507
SUGP2,0.9068573747739916,0.3419
TINAGL1,0.9068573747739916,-0.3913500000000001
MAPK8,0.9068573747739916,-0.2041
DNAJB12,0.9068573747739916,-0.5486
CARS2,0.9068573747739916,0.56585
CASP7_isoform_1,0.9068573747739916,-0.7311000000000001
SEC24C,0.9068573747739916,-0.2277
ALDH18A1_isoform_1,0.9068573747739916,-0.41855
REV1,0.9068573747739916,-0.3794999999999997
ME1,0.9068573747739916,1.3736
CCDC175,0.9068573747739916,-0.77495
IRX1,0.9068573747739916,-0.4589
ANXA11,0.9068573747739916,-0.23804999999999998
IWS1,0.9068573747739916,0.12
EIF2AK3,0.9068573747739916,0.34345000000000003
NRBF2,0.9068573747739916,-0.69445
FTL,0.9068573747739916,0.9006999999999998
UFD1,0.9068573747739916,0.11310000000000003
NSUN6,0.9068573747739916,-0.34665
CXCL5,0.9068573747739916,-1.6312
ATP13A3,0.9068573747739916,0.59555
ABLIM1,0.9068573747739916,-0.6833499999999999
TRIO,0.9068573747739916,-0.3823
KRT23,0.9068573747739916,-1.5229000000000001
KRT18,0.9068573747739916,0.91795
ATXN1L,0.9068573747739916,-0.25675000000000003
ATXN7L2,0.9068573747739916,-0.988
ELMO3,0.9068573747739916,-0.8168
EPB41L1_isoform_2,0.9068573747739916,-1.3002
HIST1H2BK,0.9068573747739916,-0.316
KIAA1755,0.9068573747739916,-1.3448999999999998
AADAC,0.9068573747739916,-0.0371999999999999
ZW10,0.9068573747739916,0.2641
KIF11,0.9068573747739916,-1.132
CDKL5,0.9068573747739916,-0.4091
OTUD1,0.9068573747739916,-0.5632
UPF1,0.9068573747739916,0.32325000000000004
SOSTDC1,0.9068573747739916,1.3111000000000004
SOX6,0.9068573747739916,1.1024
CDKN2C,0.9068573747739916,-0.43235
CSNK2A2,0.9068573747739916,-0.28935
BMP5,0.9068573747739916,-0.6380499999999998
CSTF1,0.9068573747739916,0.2248
PLEKHM3,0.9068573747739916,0.6970000000000002
CDKN2AIPNL,0.9068573747739916,-0.36224999999999996
LYRM4,0.9068573747739916,-0.5114000000000001
C18orf21,0.9068573747739916,0.39995
ARNTL2,0.9068573747739916,-1.8034
ARFGAP1,0.9068573747739916,0.48029999999999995
PRKAR2B,0.9068573747739916,-0.2647999999999999
RBL2,0.9068573747739916,-0.4113
SIPA1L3,0.9068573747739916,0.29784999999999995
CFDP1,0.9068573747739916,-0.42674999999999996
EXOSC4,0.9068573747739916,-0.31165
ARFIP1,0.9068573747739916,0.2805
HSPA12A,0.9068573747739916,-0.5500500000000004
FERMT1,0.9068573747739916,-0.8173
NEDD4L,0.9068573747739916,0.25084999999999996
ADGRG5,0.9068573747739916,-1.6771999999999998
WASHC2C,0.9068573747739916,-0.18424999999999997
CLTA,0.9068573747739916,0.37665
PRDX3,0.9068573747739916,-0.37860000000000005
VTCN1,0.9068573747739916,-2.86515
DBF4B,0.9068573747739916,0.3789999999999999
SSH3,0.9068573747739916,-0.97
PDCD4,0.9068573747739916,-0.7421500000000001
ARMH3,0.9068573747739916,-0.27969999999999995
ERLIN1,0.9068573747739916,-0.3061
USE1,0.9068573747739916,0.23905
RAI1,0.9068573747739916,-0.42245
ZNF493,0.9068573747739916,-0.6661000000000001
CES2,0.9068573747739916,-0.5464000000000001
ITGA2,0.9068573747739916,-0.8910500000000001
USP54,0.9068573747739916,-0.4024
PCSK6,0.9068573747739916,0.59285
LLGL1,0.9068573747739916,-0.47364999999999996
CEP97,0.9068573747739916,0.43055000000000004
SLC25A19,0.9068573747739916,0.4884
AIP,0.9068573747739916,-0.2325
NOC3L,0.9068573747739916,-0.4749
RINT1,0.9068573747739916,0.18264999999999998
TFAM,0.9075697194221651,-0.5866
PLSCR3,0.9089543999269667,-0.4499
GOSR2,0.9091009556678509,0.20370000000000002
TSPAN14,0.9091009556678509,-0.38730000000000003
CCT8,0.9129324955297052,0.30910000000000004
FGA_isoform_1,0.9203776841801333,1.3099000000000003
ZDHHC21,0.9203776841801333,0.14595
MIB2,0.9203776841801333,-0.15880000000000002
MMP3,0.9203776841801333,-1.3754
CLTC,0.9203776841801333,0.19195
TBP,0.9203776841801333,-0.3951
KRT2,0.9203776841801333,-0.24440000000000017
IFNAR1,0.9203776841801333,-0.46209999999999996
TERF2IP,0.9203776841801333,-0.2798
SEMA3A,0.9203776841801333,-1.3185499999999999
NABP2,0.9203776841801333,0.391
CDKN2A,0.9203776841801333,-0.01540000000000008
NLN,0.9203776841801333,0.6339999999999999
RBP1,0.9203776841801333,-1.57535
CUEDC1,0.9203776841801333,0.39764999999999995
TMEM168,0.9203776841801333,0.44899999999999995
TMEM167A,0.9203776841801333,0.74045
UGP2_isoform_1,0.9203776841801333,0.30019999999999997
SERPINI1,0.9203776841801333,0.44710000000000005
ICA1L,0.9203776841801333,0.52925
SLC25A32,0.9203776841801333,-0.5889
OLFML1,0.9203776841801333,-0.6184999999999992
CD82,0.9203776841801333,-0.7482
SH3PXD2A,0.9203776841801333,-0.5509000000000001
ATP9B,0.9203776841801333,0.21065
SNX12,0.9203776841801333,-0.10685
RTF2,0.9203776841801333,-0.129
DNASE2,0.9203776841801333,0.7572
IFT80,0.9203776841801333,-0.3048999999999999
UBP1,0.9203776841801333,0.26585000000000003
ABHD10,0.9203776841801333,0.47840000000000005
AIMP2,0.9203776841801333,-0.49024999999999996
RIN1,0.9203776841801333,-0.9258500000000001
INTS4,0.9203776841801333,0.15050000000000002
PCBP1,0.9203776841801333,0.27225
CALB2,0.9203776841801333,-1.19015
PALMD,0.9203776841801333,-0.30355
GRAMD1A,0.9203776841801333,0.32815
TNIP1,0.9203776841801333,-0.3937
ASB8,0.9203776841801333,-0.5362
CCDC126,0.9203776841801333,0.6311
DBI,0.9203776841801333,0.51955
SYNPO_isoform_1,0.9203776841801333,-0.2812999999999999
AKAP8L,0.9203776841801333,0.39685
SIL1,0.9203776841801333,0.34809999999999997
ENOPH1,0.9203776841801333,0.18919999999999998
S100A13,0.9203776841801333,-0.3882500000000001
PIK3CA,0.9203776841801333,0.15105000000000002
TRAF7,0.9203776841801333,-0.29214999999999997
RECQL4,0.9203776841801333,-0.6214999999999999
TXNL1,0.9203776841801333,0.59015
APRT,0.9203776841801333,-0.36775
MINPP1,0.9203776841801333,-0.1562
SKA1,0.9203776841801333,1.43105
KRT8,0.9203776841801333,0.6124
DNAJC24,0.9223549831761138,-0.4739
NSFL1C,0.9223549831761138,-0.28975
TXNL4A,0.9223549831761138,0.19795
DNAJC9,0.9223549831761138,-0.6178
ME2,0.9223549831761138,0.18535
FBXO30,0.9223549831761138,0.31605000000000005
MAFK,0.9223549831761138,-0.47245000000000004
LPCAT2,0.9223549831761138,-0.45445
SHE,0.9223549831761138,-0.5164500000000003
C1orf174,0.9223549831761138,-0.45405
LY75-CD302,0.9223549831761138,-0.008799999999999988
ALDH1L1,0.9224481260403962,-1.5964
WDR92,0.9237662935301281,0.4131
LOXL4,0.930515569154399,-0.3447
HIF1AN,0.930515569154399,-0.38860000000000006
CRYBG1,0.9307500532857527,-0.7525999999999999
MAF,0.9390941111651485,0.6969
ANKRD13C,0.9423975027592619,-0.64735
CPSF4,0.9423975027592619,0.21510000000000007
ANKRD11,0.9423975027592619,-0.2546
RTTN,0.9423975027592619,0.40424999999999994
EPG5,0.9423975027592619,0.41890000000000005
NEK9,0.9423975027592619,0.2845
AKR1E2,0.9423975027592619,-0.9893000000000001
MITD1,0.9423975027592619,0.18545
EPYC,0.9423975027592619,-1.02435
RIC8A,0.9423975027592619,0.35924999999999996
HERC4,0.9423975027592619,-0.29159999999999997
HACD3,0.9423975027592619,0.3104
CISD2,0.9423975027592619,0.39944999999999997
ARAP3,0.9433388948955272,-0.39254999999999995
MOCS1,0.9433388948955272,-0.5781999999999999
TOM1L1,0.9433388948955272,0.45940000000000003
GATC,0.9433388948955272,-0.32094999999999996
ASPSCR1,0.9433388948955272,0.13665
MCMBP,0.9433388948955272,-0.5188999999999999
SUGP1,0.9433388948955272,0.2001
EEA1,0.9433388948955272,-0.27945000000000003
SCG3,0.9433388948955272,-0.70215
CELSR2,0.9433388948955272,-0.88505
VPS72,0.9433388948955272,-0.1661
ATG4A,0.9433388948955272,0.5820000000000001
C3orf58,0.9433388948955272,0.98695
INTS9,0.9433388948955272,0.2546
TNS4,0.9433388948955272,-1.3834999999999997
FLT1_isoform_1,0.9433388948955272,0.5152
TIA1,0.9433388948955272,0.35785
NUDT9,0.9433388948955272,0.31265
HAUS7,0.9433388948955272,0.21675
SIRT2,0.9433388948955272,0.2529
DHPS,0.9433388948955272,0.46575
NAGLU,0.9433388948955272,0.33109999999999995
HIGD2A,0.9433388948955272,-0.6122
PNPLA4,0.9433388948955272,-0.69155
B4GALT1,0.9440668431398654,0.60155
EFNB1,0.9449620140490435,-1.0896
PALM,0.9449620140490435,-0.7150500000000002
POLR1A,0.9503058732346678,0.37810000000000005
IFT57,0.9528368982726039,-0.25655000000000006
TERF2,0.9528368982726039,-0.2202
CHMP5,0.9528368982726039,0.3456
COL17A1,0.9528368982726039,-1.19805
MT1A,0.9528368982726039,-0.8806
CASP7,0.9528368982726039,-0.3527
BANF1,0.9528368982726039,-0.26594999999999996
CIAO2B,0.9528368982726039,-0.14245000000000002
MTMR7,0.9528368982726039,0.44415000000000004
SLC35F5,0.9528368982726039,-1.367
EPS15L1,0.9528368982726039,0.11134999999999998
CYTL1,0.9528368982726039,-2.0846
VTI1A,0.9528368982726039,-0.36815000000000003
CCT5,0.9528368982726039,0.13589999999999997
STAU2,0.9528368982726039,0.66725
GLMP,0.9528368982726039,0.6203000000000001
GLOD5,0.9535088834658131,1.2871499999999998
UBE2R2,0.9535088834658131,0.18145
MUSTN1,0.9535088834658131,1.0215999999999994
TIMM21,0.9535088834658131,0.4996999999999999
CREBBP,0.9535088834658131,-0.30395
SPICE1,0.9535088834658131,0.3893
CFAP206,0.9535088834658131,1.0413000000000001
BPTF_isoform_1,0.9535088834658131,0.4871
DYNC2H1,0.9535088834658131,-0.5467
MAP2K3,0.9593020128336038,-0.6885000000000001
KIAA1958,0.9601889423766096,0.6676000000000001
ATP5F1E,0.962392774265414,-0.6889
NGRN,0.962392774265414,-0.7455
C16orf46,0.962392774265414,-1.0508
DLG4,0.9658243856970228,-1.2632
MATN3,0.9663363100476909,-0.022199999999999998
SNRPN,0.9677294522407158,-0.7322
PAK1,0.9677294522407158,0.77515
S100A7,0.9677294522407158,-1.0556000000000005
IDE,0.9677294522407158,-0.41995000000000005
MYOF,0.9680235375594627,-0.2003999999999999
DCTN3,0.9711454007225677,-0.14814999999999998
CPSF1,0.9714262906704594,0.10009999999999997
WDR53,0.9800508977634412,0.501
C2orf69,0.9800508977634412,0.29289999999999994
RBMX2,0.9800508977634412,0.10069999999999996
ABCC2,0.9800508977634412,-0.6266
IRF2BPL,0.9802879364572611,0.43739999999999996
UGP2,0.9802879364572611,0.10545
RDH11,0.9802879364572611,0.2512
POLQ,0.9802879364572611,0.6661499999999999
CEP68,0.9802879364572611,-0.32795
OAT,0.9802879364572611,-1.2854
MAF1,0.9802879364572611,-0.23045
DDX54,0.9813229833409763,-0.33885000000000004
CCDC51,0.9813229833409763,0.11170000000000002
WDR91,0.9813229833409763,-0.32045000000000007
GFRA1,0.9813229833409763,-1.4760500000000003
PTRH2,0.9822413937514215,0.6658
TMX3,0.9825447444924018,0.34575
SLC25A28,0.9825447444924018,-0.5238
DPCD,0.9825447444924018,-0.6675000000000001
ZNF880,0.9825447444924018,-0.33620000000000005
SEC14L2,0.9825447444924018,-0.59615
REPIN1,0.9825447444924018,0.35309999999999997
THAP11,0.9826188107028471,-0.47555
RPS10,0.989270051737968,-0.19734999999999991
TAF7,0.989270051737968,-0.21099999999999997
GPBP1,0.989270051737968,-0.08494999999999998
POLL,0.989270051737968,-0.4607
ITGA6,0.989270051737968,-1.33405
EIF3A,0.989270051737968,-0.27455
INTS12,0.989270051737968,0.03464999999999996
NOMO2,0.989270051737968,0.11349999999999999
HEXIM1,0.989270051737968,0.61025
KRT10,0.989270051737968,-0.8411999999999997
RBM4B,0.989270051737968,-0.2605
TRAF3IP1,0.989270051737968,-0.56855
FREM2,0.989270051737968,1.3228
GPAM,0.989270051737968,-0.18485000000000001
PKN2,0.989270051737968,-0.31845
HEATR5B,0.989270051737968,0.18205
GLYATL2,0.989270051737968,2.2009499999999997
CMTR2,0.989270051737968,-0.41119999999999995
TRIM39,0.989270051737968,-0.6948
TRIM36,0.989270051737968,0.61285
L3MBTL4,0.989270051737968,0.9573999999999999
FFAR2,0.989270051737968,-2.23935
MLXIP,0.989270051737968,0.184
IST1,0.989270051737968,-0.006699999999999998
THBD,0.989270051737968,-0.5661
VANGL1,0.989270051737968,-0.80785
COMMD5,0.989270051737968,-0.21920000000000006
MFSD10,0.989270051737968,-0.5900000000000001
CNTFR,0.989270051737968,-0.4677500000000001
GNE,0.989270051737968,0.17819999999999997
NME1,0.989270051737968,0.5157
EDRF1,0.989270051737968,-0.2933
ACAA2,0.989270051737968,0.5028
FDPS,0.989270051737968,0.2812
ANKMY2,0.989270051737968,0.32194999999999996
WIZ,0.989270051737968,0.2336
CLASP2,0.989270051737968,0.16515000000000002
SERINC3,0.989270051737968,-0.34525
H1FX,0.989270051737968,-0.84635
TMED1,0.989270051737968,0.39415
FBXL15,0.989270051737968,-0.5541
SEMA5A,0.989270051737968,0.02859999999999996
CLK3,0.989270051737968,0.151
HAUS8,0.989270051737968,0.378
PEAK3,0.989270051737968,-1.0671
NCEH1,0.989270051737968,0.2865
KPNA2,0.989270051737968,0.5958999999999998
RFC1,0.989270051737968,0.5430499999999999
DRC1,0.989270051737968,0.7151000000000001
CLIP1,0.989270051737968,-0.2901
MYH11,0.989270051737968,0.3753000000000002
PUS3,0.989270051737968,0.45275
PYROXD2,0.989270051737968,-0.6947999999999999
ADI1_isoform_1,0.989270051737968,0.21789999999999993
SVIL,0.989270051737968,-0.18830000000000002
PTGFRN,0.989270051737968,-0.5037499999999999
MCM3AP,0.989270051737968,-0.1658
TMOD2,0.989270051737968,-0.3634500000000003
PPP3CB,0.9912873695605635,-0.23354999999999995
KCTD2,0.9912873695605635,-0.44335
THOP1,0.9912873695605635,0.32505
RAB3GAP2,0.9912873695605635,0.26785
N4BP2L1,0.9912873695605635,-0.8093
RAPGEF5,0.9912873695605635,-0.38795
PEX16,0.9912873695605635,0.2575
ZNF655,0.9912873695605635,-0.40254999999999996
TBX4,0.9912873695605635,-0.4390999999999998
NAF1,0.9912873695605635,0.384
NT5DC4,0.9937730388394388,-0.9353
RBM7,0.9937730388394388,-0.25765000000000005
DENND4A,0.9937730388394388,0.24585
SNX15,0.9937730388394388,-0.3086
SLC9A7,0.9937730388394388,-0.53515
NOB1,0.9987613076545421,-0.5798
TACSTD2,0.9987613076545421,-0.50145
WNT5B,0.9987613076545421,-1.4332000000000003
INHBC,0.9987613076545421,-0.3165499999999999
PRR5,0.9993066288226365,-0.25055
LRRN3,0.9993111708402661,1.3250499999999998
PTPRK,0.9993111708402661,-0.4133
TYSND1,0.9993111708402661,-0.7343500000000001
ZNF189,0.9993111708402661,0.27180000000000004
RNF220,0.9993111708402661,-0.26725
SERPINB4,0.9993111708402661,-1.7063
RANBP3,0.9993111708402661,0.23020000000000002
NT5DC2,0.9996157976476203,0.4075
SPEN,0.9996157976476203,-0.07265000000000005
PLXNC1,0.9998477192481203,-0.16585
PTGR1,0.9998477192481203,0.1938000000000002
PTGR2,0.9998477192481203,0.25554999999999994
PRSS8,0.9998477192481203,-0.03965000000000002
PODN,0.9998477192481203,-0.15415
PRTFDC1,0.9998477192481203,0.38720000000000004
PSAP,0.9998477192481203,-0.7995
PMF1,0.9998477192481203,-0.37965
PTCD3,0.9998477192481203,-0.1397
PM20D2,0.9998477192481203,-0.52905
PTDSS1,0.9998477192481203,0.23299999999999998
PTDSS2,0.9998477192481203,0.20400000000000001
PRX,0.9998477192481203,0.015450000000000408
PRUNE2,0.9998477192481203,0.30945
PTGIS,0.9998477192481203,0.12935000000000008
PRUNE1,0.9998477192481203,0.2968
PTER,0.9998477192481203,-0.15544999999999987
PTGDS,0.9998477192481203,-0.11814999999999998
PTGES,0.9998477192481203,-2.97585
PTGES2,0.9998477192481203,0.0471
PTGS1,0.9998477192481203,-0.04784999999999995
PLXND1,0.9998477192481203,-0.02839999999999998
PTGES3,0.9998477192481203,-0.08845000000000003
PODXL,0.9998477192481203,0.040300000000000225
