Proteomics,Brca_P_Value,Brca_Median
DNAJC2,0.26332863642196297,0.46604999999999996
FAM206A,0.26332863642196297,0.615
NSDHL,0.26332863642196297,0.5350000000000001
HOOK3,0.26332863642196297,0.49435000000000007
DDX19A,0.26332863642196297,0.54375
CHUK,0.26332863642196297,-0.3661
SFMBT1,0.26332863642196297,-0.63145
PGAM5,0.26332863642196297,0.91375
TNRC6B,0.26332863642196297,0.2518
SLC25A13,0.26332863642196297,1.25745
DARS,0.2665580757334742,0.32615
DNAJA2,0.2665580757334742,0.5572
PHF1_isoform_1,0.2714435718995471,-0.36769999999999997
EGLN1,0.2714435718995471,0.63425
ESYT1,0.2714435718995471,1.1947
STK39,0.2714435718995471,-1.26725
TNRC6C,0.2714435718995471,-0.772
WDR4,0.2714435718995471,0.73325
CHMP1A,0.2714435718995471,0.6726000000000001
SMG1,0.2714435718995471,0.2714
PDCD2,0.2714435718995471,0.8482
OXCT1,0.2714435718995471,1.25035
EML4,0.2714435718995471,0.70755
CGGBP1,0.2714435718995471,-0.33415
AACS,0.2714435718995471,0.7363500000000001
TLE3,0.2714435718995471,-0.49405
PNKD_isoform_1,0.2714435718995471,0.9765
ZW10,0.2714435718995471,0.4712
ALDH18A1_isoform_1,0.2714435718995471,-0.6751
POR,0.2714435718995471,0.8162
UBE4A,0.2714435718995471,0.5302
HBS1L_isoform_1,0.2714435718995471,0.47575
DNAJC12,0.2714435718995471,-2.4688
PPM1G,0.2714435718995471,0.4205
TDRKH,0.2714435718995471,0.71315
HAAO,0.2714435718995471,0.46925000000000006
CEP170_isoform_1,0.2714435718995471,0.4345
HIST2H2BF,0.2714435718995471,-0.32935000000000003
EIF4G2_isoform_1,0.2714435718995471,0.3202
GNA13,0.2714435718995471,-0.5289999999999999
ZC3HAV1,0.2714435718995471,0.30315
ZHX1,0.2714435718995471,-0.36305
COL27A1,0.2714435718995471,-1.0905
SFXN2,0.2714435718995471,-1.2152500000000002
GALNT3,0.2714435718995471,1.4838500000000001
EXOC6,0.2714435718995471,-0.9229
MGMT,0.2714435718995471,-0.6527999999999999
SP2,0.2714435718995471,-0.3261
KMO,0.2714435718995471,1.6923
MSL2,0.2714435718995471,-0.6523499999999999
CNTROB,0.2714435718995471,-0.6351
SRC,0.2714435718995471,0.5342
SLC11A2,0.2714435718995471,1.0593499999999998
ABCF2,0.2714435718995471,0.60315
ABCC1,0.2714435718995471,0.54225
SEC63,0.2714435718995471,1.1439000000000001
SLC44A4,0.2714435718995471,-3.141
MAGED1,0.2714435718995471,0.9217
CBFB,0.2714435718995471,0.66895
ARL5B,0.2714435718995471,0.7782
CDK6,0.2714435718995471,0.9113500000000001
KYNU,0.2714435718995471,1.5967
CXCL14,0.2714435718995471,-2.32185
KAT6B,0.2714435718995471,-0.4448
DENND2D,0.2714435718995471,-0.7334999999999998
TBC1D4,0.27235164116510935,0.5578000000000001
CDC42BPG,0.27410809938988495,0.7899
UROS,0.27448888723395976,-0.63695
SND1,0.2859918894178615,0.5845
YTHDF1,0.2859918894178615,0.5704
NUDT1,0.29106099493233134,0.7147
NDRG3,0.29106099493233134,0.39244999999999997
MINPP1,0.29106099493233134,-1.0356
CELSR1,0.29106099493233134,-1.45455
GOPC,0.29106099493233134,0.6346
GMEB1_isoform_1,0.29106099493233134,-0.44110000000000005
LSM14B,0.29106099493233134,0.7670999999999999
TRERF1,0.29106099493233134,-0.6792
HMGCS1,0.29106099493233134,0.9905
BCAS1,0.29206996478716907,-1.9788000000000006
TTC27,0.29480821823910514,0.20825
XPC,0.29480821823910514,-0.4194
FDFT1,0.29480821823910514,0.5469499999999999
GGCX,0.29756805588212926,0.9650000000000001
SERPINA3,0.29937320059447076,-1.24545
CIAPIN1,0.300782098404789,0.5746
HSP90AA1,0.3030698163513314,0.4372
ZNFX1,0.30425715754282695,0.4327
MMP24,0.30804685283869787,1.1735
BCAR1,0.30910969072023525,0.46335000000000004
HEATR3,0.30910969072023525,0.67875
KLF3,0.3100690978149926,-0.5644
AP1G1,0.3161447681101088,0.5945
ZNF385A,0.31960374091165505,-1.1479
CCAR1,0.32159021754623557,-0.3853
HOMER3,0.32159021754623557,0.37570000000000003
CBFB_isoform_1,0.32159021754623557,0.63455
CTU2,0.32276040982927445,0.5129
AKT2,0.3239098476544897,-0.60345
FAHD2A,0.3251816397562269,0.96265
DPCD,0.3251816397562269,-0.9378000000000001
TRAPPC4,0.3251816397562269,-0.31930000000000003
DNAJA1,0.3251816397562269,0.4358
CCDC115,0.3251816397562269,0.1775
FOXA1,0.3251816397562269,-0.61045
ARL3,0.3260104683444294,-1.0119
REPS2,0.3274388678692946,-1.5147000000000002
FRA10AC1,0.3274388678692946,-0.73705
PELO,0.3282196905701276,0.497
PTPN12,0.32943397581208145,0.21235
FDPS,0.32943397581208145,1.09165
SHOC2,0.33098963095143724,-0.42665000000000003
ERCC6,0.3320274867788494,-0.5244
TRPS1,0.3320274867788494,-1.1498
DDX28,0.3320274867788494,0.501
UAP1,0.3320274867788494,0.7584
KIF21A,0.3320274867788494,0.58985
TMEM159,0.3320274867788494,1.1423
CUL9,0.3320274867788494,-0.5082
HDGFRP3,0.3320274867788494,-1.20465
PRDX3,0.3320274867788494,-0.8016500000000001
AADAT,0.3320274867788494,0.7815
CYP2J2,0.3320274867788494,2.1719999999999997
TANGO2,0.3320274867788494,-0.6374500000000001
FIBP,0.33810399133882896,-0.54005
NUDT12,0.33810399133882896,-1.5768
ACSS2,0.33810399133882896,0.61115
TBCE_isoform_1,0.33810399133882896,0.8606
KCNH5,0.33810399133882896,1.9236
HOMER1,0.33810399133882896,0.65655
MKLN1,0.33810399133882896,0.2784
TMEM26,0.33810399133882896,-2.4281500000000005
IGF2BP2,0.33810399133882896,0.89595
OGFOD1,0.3384162847056597,0.6228999999999999
ATP2C1,0.3384162847056597,1.0222
REXO4,0.3384162847056597,0.91645
MAP3K7,0.3384162847056597,1.069
SLC3A2,0.3384162847056597,1.0266
PGPEP1,0.3384162847056597,-1.0774
SEPSECS,0.3384162847056597,-0.70445
AP1G2,0.3384162847056597,-0.6338
EIF4H_isoform_1,0.3384162847056597,0.2811
LARP4,0.3384162847056597,0.63215
NHEJ1,0.3384162847056597,-0.4197
DIAPH3,0.3392477226369453,1.0721500000000002
CTC1,0.3392477226369453,-0.5710500000000001
MYH10,0.34437947746695763,-1.99695
TRAPPC2,0.34437947746695763,-0.44984999999999997
GINS4,0.34437947746695763,0.6792
WWC3,0.34437947746695763,0.63025
YBX3,0.34437947746695763,1.2379499999999999
SERPINA2,0.34437947746695763,-1.10155
HDAC11,0.3461267090233104,-0.7774000000000001
NUMA1,0.3461267090233104,-0.86695
DCAF6,0.3476521736526412,0.5650000000000001
SERPINA6,0.34784427834825093,-1.1632
ANLN,0.3485308616877591,1.6790500000000002
SLC4A1AP,0.3485308616877591,0.5365
CUTC,0.3494693239585128,-0.4808
MAEA,0.3494693239585128,0.25425
HLA-DQB1_isoform_1,0.3494693239585128,0.9427000000000001
GFRA1,0.3494693239585128,-3.07905
PHKA1,0.3494693239585128,0.8175
CTBP2,0.3494693239585128,-0.6159
CPNE8,0.3494693239585128,0.5012
SPHK1,0.3553751080131189,0.91485
IQSEC1,0.3553751080131189,-0.41585
EIF2S3,0.3556633152928885,0.35975
PSME4,0.3556633152928885,0.34195
MELK,0.3556633152928885,0.68445
EIF4G1,0.3556633152928885,0.5042
HAUS6,0.3556633152928885,0.28459999999999996
SLC37A4,0.3556633152928885,1.2016
HMOX2,0.3556633152928885,0.96655
RTKN,0.35752129862351884,0.672
CD2AP,0.36075214408610917,-0.45945
TOMM70,0.36075214408610917,0.60225
MALSU1,0.3609188091175387,1.3087
ZNF552,0.3609188091175387,-0.84845
CHCHD2,0.36286914881418497,0.6154
RTN4IP1,0.36632892085733965,0.41275
SIGIRR,0.36632892085733965,-0.87835
TCEA2,0.3677005558533004,-0.5383
PTGDS,0.3677005558533004,-1.42475
SCUBE2,0.3677005558533004,-1.82055
ARF6,0.3677005558533004,-0.45100000000000007
CLUH,0.3677005558533004,0.5300499999999999
BIRC6,0.3677005558533004,0.31415000000000004
GRHL1,0.3677005558533004,0.86815
RNASEH1,0.3677005558533004,0.79315
ITIH1,0.3677005558533004,-1.0876
CDC123,0.3677005558533004,0.34395000000000003
DNPEP,0.3677005558533004,-0.6849
VSNL1,0.3677005558533004,1.0981499999999997
SPTAN1,0.37422908985214226,-1.3145000000000002
IGF2BP3,0.37435829451911157,1.85975
CALU_isoform_1,0.37535646833934827,1.0365000000000002
TRMT1,0.37535646833934827,0.45890000000000003
CXXC1,0.37535646833934827,-0.27795
CFHR1,0.37535646833934827,-1.26395
DDX10,0.375369142442786,0.6193500000000001
HUWE1,0.375369142442786,0.6136
TMEM126A,0.375369142442786,0.5096
C1RL,0.375369142442786,-0.8574499999999999
SERPINF2,0.375369142442786,-1.0532499999999998
RBP5,0.375369142442786,-1.8838500000000002
ME1,0.375369142442786,0.9338
STXBP4,0.375369142442786,-0.6951
ACSL3,0.375369142442786,0.53335
AP3M2,0.375369142442786,0.44975
ACADSB,0.375369142442786,-1.6774999999999998
SBDS,0.375369142442786,0.4188
IP6K1,0.375369142442786,0.30670000000000003
VAPB,0.375369142442786,0.8079999999999999
GP2,0.375369142442786,-1.1372499999999999
RAB43,0.375369142442786,0.7055499999999999
HDAC6,0.375369142442786,0.2682
PLA2G15,0.375369142442786,0.46510000000000007
NAE1,0.375369142442786,0.4467
CST3,0.375369142442786,-0.5629
SLK,0.375369142442786,-0.5138
AHCY,0.375369142442786,0.68465
SLC5A6,0.375369142442786,1.38625
TRIP11,0.375369142442786,0.38189999999999996
ZNF324,0.375369142442786,-0.9174
ADHFE1,0.3761510288579518,-1.3261
PLCG1,0.3761510288579518,0.45055
PCDHAC2,0.37709565042451104,0.831
RHBDD3,0.37709565042451104,0.5932499999999999
PDIA6,0.37709565042451104,0.5905
CDKN2AIP,0.37709565042451104,-0.50905
PSAT1,0.37709565042451104,1.3649
CCDC174,0.37709565042451104,-0.29805
PEX13,0.37709565042451104,0.5808
PIP4K2C,0.37709565042451104,0.26265
HAUS7,0.3776638138736398,0.405
PLA2G4C,0.3776638138736398,-0.9837
C1orf198,0.3776638138736398,0.47634999999999994
PALM,0.3776638138736398,-1.3056
HCCS,0.3776638138736398,0.8717
BBS9,0.3776638138736398,-0.6467499999999999
MLLT10,0.3776638138736398,-0.34495
GSTA1,0.3776638138736398,0.8175999999999997
CEP290,0.3776638138736398,-0.5379
POLM,0.3776638138736398,-0.6317999999999999
MDH2_isoform_1,0.3776849198009855,0.6216999999999999
MPZL1,0.37780819381902325,0.6858000000000001
RNF219,0.3782398037909937,0.54505
PITRM1,0.3782398037909937,0.47300000000000003
ZNF511,0.3782398037909937,-0.6397999999999999
ALOX15B,0.3782398037909937,0.8909500000000001
GRAMD1C,0.3782398037909937,0.6593
DVL1,0.3782398037909937,-0.773
JADE2,0.3782398037909937,-0.49424999999999997
MYOF,0.3782398037909937,-0.98725
HDAC1,0.3782398037909937,-0.35129999999999995
MYO5C,0.3782398037909937,-1.0671000000000002
GFPT1,0.3782398037909937,0.7418
PEX11B,0.3782398037909937,-0.3878
HMGN4,0.3782398037909937,-0.73625
AGAP2_isoform_1,0.3782398037909937,-0.4953
MAPRE1,0.3782398037909937,0.45635000000000003
TTK,0.3782398037909937,0.5390499999999998
FLAD1,0.3782398037909937,0.60565
ESD,0.3782398037909937,-0.5259
PLCD4,0.3782398037909937,-1.08255
SHANK1,0.378614423677341,-0.8144500000000001
GATA3,0.3820270165968115,-2.3932
ANKK1,0.3820270165968115,-0.6266499999999999
AIM1,0.3820270165968115,1.26325
CCDC47,0.38323562800180394,0.5738500000000001
PLXNA3,0.38483630457260093,-0.4176
HIST2H2AC,0.38483630457260093,-0.5502
ABHD10,0.38483630457260093,-0.6457999999999999
UTP6,0.38483630457260093,0.34125
CHST15,0.38483630457260093,-0.68125
HIF1AN,0.38483630457260093,-0.28755000000000003
TMCO1,0.38483630457260093,0.9849999999999999
PIAS1,0.38483630457260093,-0.39170000000000005
CEP135,0.38483630457260093,-0.3581
DHCR7,0.38483630457260093,1.2836500000000002
CCDC91,0.38483630457260093,-0.40275
TBX3,0.38483630457260093,-0.8745999999999999
URGCP,0.38483630457260093,0.23429999999999995
CALML5,0.38483630457260093,1.8214500000000002
ACE2,0.38483630457260093,1.7210000000000005
CDKN2A,0.38483630457260093,0.42185000000000006
ODF2,0.38483630457260093,-0.5327500000000001
NLRC4,0.38483630457260093,-0.4556
TTC28,0.38483630457260093,-0.481
ADSS,0.38483630457260093,0.33874999999999994
ANKLE2,0.38483630457260093,0.42314999999999997
TIGAR,0.38483630457260093,0.63
WDR70,0.38483630457260093,0.19755
AP3S1,0.38483630457260093,0.49295000000000005
TXNL4B,0.38483630457260093,0.6522
P4HTM,0.38483630457260093,-0.5337500000000001
MTX1,0.38483630457260093,0.48469999999999996
PLXNB1,0.38483630457260093,-0.21665
ORM2,0.38483630457260093,-1.18555
CDK17,0.38483630457260093,-0.38225
LTA4H,0.38483630457260093,-0.48595
ZNF236,0.38483630457260093,0.8753
MICAL3,0.38483630457260093,0.4544000000000001
SHC1,0.38483630457260093,0.4262
DNM2,0.38483630457260093,0.16754999999999998
CD34,0.38483630457260093,-0.82205
CDK4,0.38483630457260093,0.4273
VAV3,0.38500305015539893,-0.6446999999999999
R3HCC1L,0.38500305015539893,-0.5660000000000001
PWWP2A,0.38500305015539893,-0.3233
NBAS,0.38500305015539893,0.42775
RNF10,0.38500305015539893,-0.2799
ATP6V0D1,0.38500305015539893,0.32655
PF4,0.38500305015539893,-1.2725
RCN3,0.38500305015539893,0.56395
DNMT1,0.38500305015539893,0.33345
PPP2R3A,0.38500305015539893,0.5507
PI16,0.38500305015539893,-0.24454999999999996
SENP7,0.38500305015539893,-0.3588
TLDC1,0.38500305015539893,0.6553500000000001
KIAA0513,0.38500305015539893,0.4881
CASZ1,0.38500305015539893,-0.5361
GRB10,0.38500305015539893,0.50445
TMEM131,0.38500305015539893,0.7128
ANGPT2,0.3852547772014226,-0.44060000000000005
NRBF2,0.3852547772014226,0.5349
C2CD5,0.3859152607934511,-0.34630000000000005
MAPRE2,0.3859152607934511,0.6890000000000001
PAXIP1,0.38735986884572404,-0.19140000000000001
ADAM9,0.38838601676927886,0.72545
RAB11FIP2,0.38838601676927886,-0.50305
SOX10,0.3892068603432616,1.8180999999999998
RALYL,0.3892068603432616,-0.48525
TBC1D7-LOC100130357,0.3892068603432616,0.42535
PTP4A2,0.3892068603432616,-0.3366
CARD19,0.38943653746578577,0.274
LDB3,0.390457386140001,-0.6692499999999999
CSE1L,0.3916546118688138,0.31689999999999996
GCSH,0.39194833397502454,0.55435
NSUN2,0.3922127713901365,0.5695000000000001
POU2F1,0.3924699763605303,-0.27044999999999997
STAU1,0.3933136051816274,0.4739
SMC3,0.3933136051816274,-0.26585000000000003
WAPL,0.3933136051816274,-0.3712
EGFR,0.3933136051816274,0.58645
SSNA1,0.3933136051816274,-0.9826000000000001
RNPEPL1,0.3933136051816274,-0.35190000000000005
SCUBE3,0.3933136051816274,1.0152
DNMT1_isoform_1,0.3933136051816274,0.59155
HDLBP,0.3933136051816274,0.22089999999999999
TOM1,0.3933136051816274,0.24714999999999998
AIF1L,0.3933136051816274,1.84985
WLS,0.3933136051816274,1.8107
RGS14,0.3938425242441558,-0.53395
WDR6,0.3938425242441558,-0.25665
FAHD2B,0.3938425242441558,1.45485
SEC61B,0.3938425242441558,0.66225
STEAP3,0.3938425242441558,1.0452499999999998
ZFP36L2,0.3938425242441558,0.376
SLC9A3R2_isoform_1,0.3938425242441558,-0.7085
RSBN1,0.3938425242441558,-0.34595
ISPD,0.3938425242441558,-0.6043499999999999
PARD3,0.3938425242441558,0.49955
HNRNPC,0.3938425242441558,-0.2949
TSR2,0.3938425242441558,0.29074999999999995
TAB2,0.3938425242441558,0.36795
TAB1,0.3938425242441558,0.20515000000000003
DNAH5,0.3938425242441558,0.5452
NUDT6,0.3938425242441558,-1.00665
PES1,0.3938425242441558,0.38325
CLIC3,0.3938425242441558,0.5039499999999999
ERGIC3,0.3938425242441558,0.8245500000000001
THG1L,0.3938425242441558,-0.35960000000000003
DPP7,0.3938425242441558,-0.9815499999999999
ING5,0.3938425242441558,-0.2359
NAT1,0.3938425242441558,-1.7089999999999999
NDUFAF4,0.3938425242441558,0.7105499999999999
AARS,0.3965453645419563,0.5304
ZCCHC6,0.3965453645419563,0.4301
EFCAB14,0.3965984875318303,0.2514
PHKB,0.39743104258061374,0.6385000000000001
MCUR1,0.39743104258061374,0.58385
NOVA1,0.39743104258061374,-1.06095
TOE1,0.39743104258061374,0.78665
HSPA14,0.39743104258061374,0.6357
CEP68,0.39743104258061374,-0.7500499999999999
APOC1,0.39743104258061374,-0.9731999999999998
SPOUT1,0.39743104258061374,-0.21125
TMEM165,0.39743104258061374,0.41495000000000004
VEZF1,0.3980527581025246,-0.4175
CFHR5,0.3983882871634651,-0.98295
MRM2,0.3983882871634651,0.03865000000000002
DNAJC11,0.40025232660081306,0.70285
NOL6,0.40025232660081306,0.2403
TELO2,0.4009128857873695,0.45930000000000004
DNM1L_isoform_1,0.4009128857873695,0.4862
AKR1B15,0.4009128857873695,2.0284000000000004
BCAT2,0.4009128857873695,-0.7762
MLPH,0.4009128857873695,-0.51135
MICALL1,0.4009128857873695,0.4172
FAM213B,0.4009128857873695,-0.88325
ITCH,0.4009128857873695,0.3484
DYNC1LI2,0.4009128857873695,0.6821
GLUD1,0.4009128857873695,-0.38505
HS1BP3,0.4009128857873695,0.28515
SRRM1,0.4009128857873695,-0.27985000000000004
FAM208A,0.4009128857873695,-0.35014999999999996
DDX3X,0.4009128857873695,0.23635
LZTS1,0.4009128857873695,0.69905
CA12,0.4009128857873695,-1.9143
EIF2S2,0.4011834614633397,0.31665
TBC1D12,0.40147563114981194,-0.4884
GLOD4,0.40147563114981194,-0.44900000000000007
ARFIP2,0.40147563114981194,-0.6917
HTATIP2,0.40147563114981194,1.01325
MMS19,0.40305452737597075,-0.6534
HSD17B10,0.40707703262369066,0.5283
PDCD4,0.40707703262369066,-0.69155
NAA15,0.40707703262369066,0.47745
PROC,0.40707703262369066,-0.9782
TBL2,0.40707703262369066,0.64405
TTPAL,0.40714231234631115,0.54875
GNAO1,0.4074609611859559,-0.32604999999999995
SMPD2,0.4082592792792939,0.8989
ANKS3,0.4082592792792939,0.8484499999999999
TBC1D24,0.4082592792792939,0.73585
C16orf58,0.4082592792792939,0.8865500000000001
C4B_2,0.410399252748015,-0.99275
ITPK1,0.410399252748015,-0.66785
LAMA2,0.410399252748015,-0.8183499999999999
VAC14,0.410399252748015,0.48425
HSPE1-MOB4,0.410399252748015,0.594
ZNF32,0.410399252748015,-0.98725
EIF4A2,0.410399252748015,-0.4728
ARID4A,0.410399252748015,-0.49255000000000004
OAF,0.410399252748015,-0.58505
DMPK,0.410399252748015,0.05785000000000007
QRSL1,0.41096874432984015,0.4805
LRRC45,0.41096874432984015,-0.8793
RRM2,0.41096874432984015,0.78935
PADI2,0.41096874432984015,1.16395
CASP2,0.41096874432984015,0.76905
DOCK1_isoform_1,0.41096874432984015,-0.4061
PRKAB1,0.41096874432984015,-0.82865
C3orf58,0.41096874432984015,0.5419499999999999
LAD1,0.41096874432984015,1.1212499999999999
EIF5B,0.41096874432984015,0.34135000000000004
TBC1D9,0.41096874432984015,-1.4907
MLX,0.41096874432984015,0.4536
TSPO,0.41096874432984015,0.5952999999999999
HPCAL1,0.41096874432984015,0.544
UCK2,0.41096874432984015,0.29065
GLTSCR1L,0.41105393903413445,-0.50875
GINS3,0.41105393903413445,0.6942999999999999
RALY,0.41105393903413445,0.27655
GTPBP1,0.41105393903413445,0.4565
FUCA1,0.41105393903413445,-0.5677
GOSR2,0.41105393903413445,0.42084999999999995
MTURN,0.41105393903413445,-0.7479
NDUFB4,0.41105393903413445,0.3834
GARS,0.41105393903413445,0.97905
MIB1,0.41105393903413445,0.25760000000000005
NME6,0.41105393903413445,0.5602
RPP25,0.41105393903413445,0.5804499999999999
CD177,0.41105393903413445,-1.0734000000000001
CLIC5,0.41105393903413445,-0.9226
CYP51A1,0.41105393903413445,1.21835
EML2,0.41105393903413445,-1.1227500000000001
QPRT,0.4116600950726232,1.57845
KIF1A,0.4128463145035613,2.16015
NOTCH1,0.41330915584882716,-0.35950000000000004
DHODH,0.41490392539155235,0.75425
IFT122,0.41490392539155235,-0.58975
SLC7A5,0.41490392539155235,1.3983
ABR,0.41490392539155235,-0.2278
RARS,0.41490392539155235,0.12070000000000002
GMPR2_isoform_1,0.41490392539155235,-0.59865
FBP1,0.41490392539155235,-0.9178
ARPC1A,0.41490392539155235,-0.65395
EDRF1,0.41490392539155235,-0.2925
ZNF292,0.41490392539155235,-0.6426000000000001
HMGB2,0.41490392539155235,-1.2214500000000001
FNDC3B,0.41490392539155235,1.1456
GBA,0.414973624771854,0.58335
NTN4,0.414973624771854,-1.7226
FABP6,0.414973624771854,1.6288500000000004
TUBB3,0.41527952036122534,0.8007
CFHR2,0.4160411138724924,-0.9646999999999999
QSOX1,0.4160411138724924,-0.8679499999999999
NCOA3,0.4160411138724924,0.1844
SSBP4,0.4160411138724924,-0.3385
CHID1,0.4160411138724924,-0.6143500000000001
KIF1B_isoform_1,0.4160411138724924,0.6573499999999999
SIRT1,0.4160411138724924,-0.3437
PGK1,0.4160411138724924,0.65955
LPA,0.4160411138724924,-1.4446000000000003
TOMM22,0.4160411138724924,0.9647
GNB2,0.4160411138724924,-0.2638
YY1,0.4160411138724924,-0.5333
SPATS2L,0.4160411138724924,0.88805
DNTTIP1,0.4160411138724924,-0.34335000000000004
RTN2_isoform_1,0.4160411138724924,1.9862000000000002
NFYB,0.4160411138724924,-0.3145
GINS2,0.4160411138724924,0.6914
STYXL1,0.4160411138724924,0.6178
CDK5,0.4160411138724924,0.33215
LOXHD1,0.4160411138724924,0.922
TLR2,0.41633747775508195,0.49235
SERPINA1,0.417515785671063,-0.9188000000000001
ALDH1A3,0.4183458504180507,0.51375
RGS22,0.4183458504180507,0.6519
FHL5,0.4183458504180507,-0.4659
TMX2,0.4186423341583795,0.9729000000000001
LRPPRC,0.4186423341583795,0.80085
FKBP8,0.4201204370149041,0.58685
F13B,0.42038231543959415,-0.5916
PPBP,0.42038231543959415,-0.8761500000000002
SRPRA,0.42038231543959415,0.24794999999999998
STARD5,0.42038231543959415,-0.63455
CCNL2,0.42038231543959415,-0.11859999999999998
SRSF11,0.42038231543959415,-0.3113
PDIA5,0.42038231543959415,0.5547000000000001
ASPA,0.42038231543959415,-1.1481999999999999
DYNLT1,0.42038231543959415,0.46740000000000004
ARHGEF5,0.42038231543959415,0.49685
TAGLN2_isoform_1,0.42038231543959415,0.56245
NIP7,0.42038231543959415,0.62185
EIF3CL,0.4205326961367156,-0.2118
TSPAN8,0.4205326961367156,0.8434500000000003
TOLLIP,0.4205326961367156,-0.3377
NBEA,0.4211765002371459,-0.8081499999999999
GPN1,0.4211765002371459,0.2692
SLC25A6,0.4211765002371459,0.61805
GID8,0.4211765002371459,0.32465
RNF114,0.4211765002371459,0.30090000000000006
FKBP10,0.4211765002371459,0.83015
SNCA,0.4211765002371459,-1.1758499999999998
FKBP9,0.4211765002371459,0.66265
IGLL5,0.4211765002371459,-0.9934499999999999
AZI2,0.4211765002371459,-0.37229999999999996
CAD,0.4211765002371459,0.5197499999999999
GOLGA5,0.4211765002371459,0.7985
PSMG4,0.42118432654856724,0.4107
LARP4B,0.4221451226630591,0.4712
ADA,0.4221451226630591,0.36510000000000004
EVL,0.4221451226630591,-0.68165
WDR46,0.42219371119844457,0.58735
MAPT,0.42219371119844457,-3.5566
POC5,0.42232159063607544,-0.6710499999999999
ABRACL,0.422564837321181,1.2857
LFNG,0.422564837321181,-1.39495
LMO7,0.422564837321181,1.2586499999999998
REEP4,0.422564837321181,0.4528
MPP6,0.422564837321181,0.61445
FKBP5,0.422564837321181,0.6707500000000002
RAB18,0.422564837321181,0.6072
NAP1L4,0.422564837321181,-0.37385
NOP2,0.422564837321181,0.92745
LIPA,0.422564837321181,-0.17955000000000004
ZGRF1,0.422564837321181,-1.1604
MEGF9,0.422564837321181,-0.9155500000000001
PLG,0.422564837321181,-0.8827499999999999
SP140,0.422564837321181,-0.7305
MAN2C1,0.422564837321181,-0.5166
TCP11L2,0.422564837321181,-0.15189999999999998
KDR,0.422564837321181,0.33505000000000007
NDUFAF3,0.422564837321181,0.7367
CTPS1,0.422564837321181,0.49265000000000003
FOSL2,0.422564837321181,0.60015
