,Comparison,Correlation_Gbm,P_value_Gbm,Correlation_kidney,P_value_kidney,Correlation_Ovar,P_value_Ovar,Correlation_Brca,P_value_Brca,Correlation_Luad,P_value_Luad,Correlation_hnscc,P_value_hnscc,Correlation_Lscc,P_value_Lscc,Correlation_Colon,P_value_Colon
10,CKB_proteomics,0.5442462597158703,6.098708001404987e-06,0.047777145135159745,0.8116725555213022,-0.003625973088538806,0.9915725909064588,0.015466043163906224,0.921126765452698,0.006996204387108445,0.9725593891386616,-0.10040750697227914,0.5564740818749311,-0.07629121821705198,0.7340513578766978,0.13326539499184756,0.41976573173398923
11,ARNT2_proteomics,0.5420787847456093,6.098708001404987e-06,-0.10003136682346142,0.784995131408787,0.018527491618183164,0.9629817909229831,-0.24395824229879554,0.08059673204728551,,,,,,,,
12,SHC1_proteomics,-0.5405244914396086,6.33544978633218e-06,,,0.17509752571894163,0.3946784031723724,0.09090809168094884,0.4964977878115431,-0.150781775778919,0.30887099520529626,-0.0859102282091423,0.6277881862333393,0.13412103171686235,0.4807218436748851,0.20325016666190654,0.18627463025334823
13,SCPEP1_proteomics,-0.531494133013942,1.1549671731081287e-05,-0.386583468079414,0.0017324009693339088,-0.021208262277545076,0.9425451925983269,0.39918696469772447,0.00023711742314733243,-0.028282059679687048,0.8862121226259835,0.18499708197715742,0.21058286308179475,0.12272891181367282,0.536828877552485,0.10843700019848879,0.5216098376133416
14,ROBO2_proteomics,0.5271277906035979,1.4832531916800771e-05,,,0.21677628845639413,0.4574708204098709,-0.20657676358052118,0.22268754625776627,-0.034631675079016426,0.8828243394689806,-0.01664059746272479,0.9609865820361396,0.228017666352566,0.19653321147374936,,
15,PHLDA3_proteomics,0.5258827854613878,1.5217788650345985e-05,0.4325299757098131,0.0004760664597236992,-0.26448065823291933,0.1752890990945694,0.1851237636957071,0.12407949055967574,0.23178880486375175,0.08787200344678948,0.7637844857470779,1.5711064616377101e-18,0.6820335902295296,1.705262359242771e-12,0.09688304949197514,0.6669006433200667
16,BLOC1S2_proteomics,-0.5229648266822912,1.7273842006123295e-05,0.11948164550930523,0.4622408266677928,0.18498928187082228,0.36443938498637923,-0.04703274909971276,0.7452634646963219,-0.1615677401629998,0.2697266900236068,-0.25547864256089087,0.06306718420613314,-0.08617518415314852,0.6948564860477388,0.17555710121857707,0.3056173908343127
17,ATP7A_proteomics,-0.5224817306372646,1.7273842006123295e-05,0.008752207314704958,0.9702932607094032,0.13500691555824232,0.5359008377942897,0.167940235508734,0.16841040678704106,0.21414384612394083,0.12028798380797279,0.14021775055461486,0.37047343033883373,-0.034116394443151815,0.8991369921633691,,
18,MEOX2_proteomics,0.5458632466939957,1.77961706536009e-05,,,,,,,,,,,-0.16590312705722643,0.3680920863415212,,
19,CD180_proteomics,-0.5182666129723484,2.0971648016688764e-05,-0.0992893884826202,0.5601481719448463,-0.18042440816797337,0.37786326111816676,0.18144564015321854,0.14462925705051363,-0.034102576157929096,0.8604954030370173,-0.07414902744401906,0.6952322987819234,-0.09012945661214043,0.6766566647588416,0.2228108752818761,0.35507690158554267
20,FAM129B_proteomics,-0.5149840251387472,2.4851829589332074e-05,0.01668360378730549,0.9398736036525794,0.13903011043631597,0.5216666001516072,0.34409341711677,0.0019579324752175354,0.18891311819458492,0.18257176188220292,0.21169777056863476,0.14167872567411272,0.3600921107353627,0.007874168753663877,0.14632853163887477,0.365245306502558
21,SEC23IP_proteomics,-0.5144035788843105,2.4851829589332074e-05,-0.15281021839796993,0.3153142725753135,0.22988774548145471,0.23309137857216441,-0.2573069982684186,0.024953114666037394,-0.26661208835537786,0.044871400595113825,-0.22270043873123385,0.1160087137919772,-0.09866491641773929,0.6399711642363968,-0.09825311713381513,0.5699263730928213
22,TOR4A_proteomics,-0.5138471291537452,2.4851829589332074e-05,0.10470259114917332,0.5344455936742228,0.03389572509198791,0.899917003827132,0.08911512570295838,0.603097308708074,-0.03301410429669255,0.866434494838287,-0.05480362136822388,0.7785231111758956,0.09778943013981556,0.6428442823580126,-0.0076834697832132565,0.9708925875849387
23,XRN1_proteomics,-0.5116564308207833,2.7720656466474783e-05,-0.148404556574611,0.3328966171080453,0.05202704827868465,0.838842055552746,0.1535613118382554,0.21398875430311046,,,-0.08279622124860472,0.6434372900714423,0.042533766892475386,0.8685684477007863,0.17370376615864044,0.2680927142904767
24,PCDH17_proteomics,0.5060447136622968,3.907158335792669e-05,,,,,,,0.061899325133945304,0.7277289268657735,,,0.04249449056894452,0.8710843237292452,,
25,WAS_proteomics,-0.5019180366341212,4.961122219298403e-05,-0.27981387372305405,0.035336801482573135,-0.09041309487565265,0.703778953165396,0.1534959798405785,0.2142099150167149,-0.3379086881786271,0.008234425882301702,-0.5034268684782973,1.5637491273875394e-05,-0.18278129501446272,0.2962624591844617,0.2824011479649168,0.055191539111636816
26,LRP4_proteomics,0.5008960940270109,5.1150253792329034e-05,,,,,,,-0.13609597209171587,0.5076206458939608,,,0.025109685487891536,0.9292301754814429,,
27,ARHGAP4_proteomics,-0.4989264348229207,5.295599032089138e-05,-0.09774796984597585,0.5675576662503821,-0.13510880479402726,0.5358125845097753,0.11089845492716195,0.3940638258272082,-0.19729439451197242,0.16158845092744367,-0.46641297682921207,7.918808947863144e-05,-0.17736349679523442,0.31493119205702735,0.1646283257346079,0.2973279432774244
28,PPP1R18_proteomics,-0.4972021285670396,5.295599032089138e-05,-0.11696738350377157,0.4766025051228007,-0.03983687733250872,0.8799017347400306,0.3591418178715906,0.0011643545071645693,-0.08395474849393042,0.6095917808444489,-0.17185523930665847,0.2538598864142706,-0.05824889390005508,0.8067260845049604,0.19211067069373783,0.21428260304254723
29,NPC2_proteomics,-0.498790591960705,5.295599032089138e-05,-0.319133468723472,0.013107362384478804,-0.18319294190707094,0.3694720190619206,0.27959932332743387,0.013887644727483927,0.29251983063392983,0.025816042054488644,-0.07305004017430353,0.6932524019566234,-0.018743971385647346,0.9485193482539552,0.040840252387118685,0.8351870340397262
30,GPRIN3_proteomics,-0.49783635480482147,5.295599032089138e-05,-0.14275840934377143,0.35648506440258143,0.09973667319328365,0.6821660255075328,-0.10538296544384791,0.4209278253559107,-0.24085710563922494,0.07412657689438258,-0.5445271846593618,3.376737807055475e-05,-0.22827429809629424,0.15774333365104037,0.13870417350171277,0.4187535389377642
31,NEO1_proteomics,0.4969841203020866,5.295599032089138e-05,0.015362147482286995,0.9459022783428784,-0.34596670783825345,0.05354016574171126,0.16923643258756632,0.16484884864721724,-0.1084138897346247,0.4944540386095027,0.016299115093308062,0.9437323221610564,0.10411305809019317,0.6171254870304351,-0.15803976365139563,0.33580478613005865
32,CTSB_proteomics,-0.4968953119173142,5.295599032089138e-05,-0.22630989222721215,0.10210361036255941,-0.033210769318725034,0.9023451691606735,0.34104789265687063,0.0021743042615607958,-0.2493331222817278,0.06327331076803672,0.2123973624310506,0.13983490908427865,0.13838733098242095,0.46473958271793975,0.09610549076684483,0.5804670227099039
33,IKBKE_proteomics,-0.5197345389973977,5.295599032089138e-05,0.060433261810288436,0.8771881523508435,0.1282506543801246,0.5595174223409148,0.11997229802757071,0.35062762336460973,0.04013914967370348,0.8372502520922986,-0.10581279629939816,0.5569788733586906,0.03383597055928344,0.8999056930022701,,
34,KYNU_proteomics,-0.49551657943951066,5.340628547905504e-05,-0.22762110447966502,0.09936842281872832,-0.049701723136129236,0.84692055948885,0.3735752990183355,0.0006766728414894637,-0.3413634076774579,0.007547840999467527,-0.05065758047117684,0.7991344738293795,-0.00712028791806954,0.980362742109163,0.20601720061478276,0.22404178855514476
35,RGMA_proteomics,0.4950729034600597,5.340628547905504e-05,,,,,,,,,,,,,,
36,LRRC75A_proteomics,0.49540215858447634,5.340628547905504e-05,,,,,,,,,,,,,,
37,EPHB3_proteomics,0.49601893686837845,5.340628547905504e-05,0.12960495031883484,0.5531393757570475,0.041054190694926954,0.875951649422672,0.36945002605750177,0.0007996123557829057,0.35478893847701815,0.005250639145951005,0.35708004604871196,0.0042277857787732746,0.18928262425754105,0.2728673011310781,0.19587924541371154,0.21212040780472494
38,STAB1_proteomics,-0.4929776568817793,5.817126885848339e-05,0.04141480585790412,0.8397859170303894,0.12351160371756767,0.5762559387328211,0.09899339808623014,0.4547642763735056,-0.30056770558688306,0.021412308751223883,-0.36908121908401414,0.0028144306722026925,-0.18264365227979612,0.29658863915861333,0.08816291265672482,0.6142383042164916
39,CLIP2_proteomics,0.49327992110355356,5.817126885848339e-05,0.1947265213664974,0.19656503933295869,0.09345042334951453,0.693229831740072,0.3475684993808784,0.001729701318525683,-0.06570165870096113,0.7029261142974566,0.013982155118016704,0.950995599750385,0.10417203322127389,0.616682205518683,-0.020808099810129016,0.9166133980763637
40,ARHGAP45_proteomics,-0.49256376995601736,5.830020099283064e-05,-0.28620660567064693,0.030098237793474647,-0.0580097477380947,0.8173252593580501,0.08695292084627082,0.5178947572478847,-0.22750876846291712,0.09484956394950732,-0.44361982477371875,0.0002120961612748784,-0.20937190371014178,0.2060188366289843,0.23118664356851243,0.12493556947023174
41,HSD17B11_proteomics,-0.49184266467177457,5.9638544446739436e-05,0.27221811074463764,0.041525724246180507,-0.04860576186145952,0.8506876942627942,0.48166707490232985,3.949215143765648e-06,-0.22332683247831042,0.10250665049780149,-0.4021456901239445,0.000977612704470388,-0.06837786196435444,0.7683559944517085,-0.0021218372551244993,0.9905060211380968
42,SVIL_proteomics,-0.49130315234332644,6.0322885156317034e-05,-0.04262410210087375,0.8686377273219935,0.19886653473883842,0.3208846055929613,0.2852147821475852,0.011898757821742535,0.13645079435160007,0.366395674614728,0.148025806637859,0.33956095206047027,0.15690773187652884,0.3899234184063784,0.18310002121453722,0.23621734587473084
43,SOX9_proteomics,0.49067010488451357,6.141432576269325e-05,0.006918633426755194,0.9849230275962778,0.0960541038089236,0.683454316751473,0.25291962820799807,0.027892986331954566,,,0.26295221192847057,0.0986600536224817,0.05637452488666852,0.8543084488997964,-0.006971728163799769,0.9740636087320244
44,DOCK10_proteomics,-0.48971507364617484,6.386357170049437e-05,,,0.2907060710231179,0.11578627556259662,,,,,-0.42119090046744045,0.0004944115436076137,-0.12303681155976245,0.616627229660257,0.004070059827295726,0.9844748471301878
45,SH3BP1_proteomics,-0.4884798437640261,6.619683790963951e-05,-0.2661300362175485,0.04694633846214305,0.07285818737071986,0.7630813419350485,0.16440568575375814,0.17875264450271347,-0.20476145943755786,0.14312297755452041,0.03410914711959231,0.8731092515397003,0.3358657880295925,0.016411209115973352,0.10497797114323758,0.5379101906795847
46,MITF_proteomics,-0.5096486438817509,6.619683790963951e-05,0.009572197183707505,0.9676220059587677,-0.140506823050607,0.5166777907775769,0.103706398774427,0.43047215924836146,-0.02233039737390885,0.9111511678958084,0.27008614300156375,0.19314171166290062,0.006301966758264228,0.9821595789939618,,
47,GPHN_proteomics,0.48659911599553907,7.28721806487145e-05,-0.16223273752314385,0.2793656113946599,0.27507731200375507,0.13669089910508012,-0.1827515476888099,0.1296552733236192,-0.003773883214551507,0.9857548509964634,0.06392306294129148,0.7344782922856598,0.16390468983274417,0.36063649652092894,0.16082183764524433,0.31009232826834887
48,DPP6_proteomics,0.4863244796622994,7.28721806487145e-05,,,,,,,,,,,,,,
49,ENG_proteomics,-0.48563903357264726,7.459794723178736e-05,0.07420190363276168,0.6823713827034752,0.1412225406963801,0.5146494869305723,0.22276610195076757,0.057492494872505066,-0.21920344859059115,0.11025797581000109,-0.21820312997214072,0.12571274011890765,-0.09174511042720342,0.6692634220594026,-0.02548898048650354,0.9020988113923425
50,ARHGAP27_proteomics,-0.48444882721818805,7.662197730949509e-05,-0.09122624007685096,0.5995323501391285,0.055200723991330455,0.835862557513457,0.20086195921813466,0.09156102892237183,-0.11483630550579896,0.46465167893516185,-0.19450116634685422,0.18468053994441477,0.09111045934236345,0.6717766315254282,0.01387107541361262,0.9453615504963313
51,OSTF1_proteomics,-0.48429806091463534,7.662197730949509e-05,-0.41734999385293853,0.0006312292775270455,-0.17883479083933715,0.3825560101986076,0.11505317487982668,0.37311262587427957,-0.2755570745759093,0.037398238879025526,-0.10454518428876132,0.5356992262139795,-0.057487926026745545,0.8105584153632733,0.16261714707645616,0.3041294654989702
52,ST14_proteomics,-0.48465923206111367,7.662197730949509e-05,-0.11225475913765182,0.4990249754709728,0.09604448801857823,0.683454316751473,0.18778130387896674,0.11825521134287087,0.025162479396993963,0.8995842249627575,0.047995115955614176,0.8119883153784146,0.2838003337898931,0.05878070201653145,-0.09173197420947142,0.6017131151711049
53,APBB1IP_proteomics,-0.4830555483585245,7.98401911156248e-05,0.07551637860987524,0.6774052262314951,-0.15461292840221758,0.46526350679831596,0.1140099360351419,0.3786979045590257,-0.2771508905356152,0.036020273280960705,-0.38255526186209043,0.0018300793769951303,-0.1908849697186969,0.26693198549877806,0.4043758593035532,0.00526399737927296
54,COL6A2_proteomics,-0.4827741454334567,7.98401911156248e-05,-0.07959313136487352,0.6576721103393821,0.17001056887311072,0.4112997337826193,0.15116799133730285,0.2221220251781429,0.10027394990750392,0.5326608783500691,0.06452860675642334,0.7324559584596047,-0.016896205125976543,0.955385293858035,0.303509392181434,0.037990933540918335
55,PPP2R3A_proteomics,-0.5037773152130771,7.98401911156248e-05,0.28573499558630844,0.030254145373878563,0.10383035591614785,0.6540164572991142,0.4461367763598457,2.710572912021261e-05,0.34848983092184055,0.006180644025506571,0.264440577585798,0.05179844614804821,0.19768006837523816,0.2450790679037388,,
56,CTSZ_proteomics,-0.48170904715372437,8.176586692694852e-05,-0.15616476436696952,0.3015629508869441,-0.12536020610436913,0.568393730392054,0.2674715286461375,0.01933029092075772,-0.11145235030838975,0.4803598123469465,-0.2681026850317217,0.04780076944859584,-0.1768718309583372,0.3166791844756213,0.01540984238483635,0.9401261556636515
57,HAAO_proteomics,-0.48197358928803796,8.176586692694852e-05,0.07196022596434268,0.6931000815798526,0.034605313117691036,0.8971665013250676,0.4629989162539492,1.0830683594726852e-05,-0.29123233925766445,0.026248249103006806,-0.2315750248838932,0.09979585211230342,-0.23115979758942368,0.1510256394997421,0.011210889984103297,0.9560914771117498
58,CSK_proteomics,-0.481564725075465,8.176586692694852e-05,-0.22127025671853517,0.11224048959155283,-0.27622828030755475,0.13451265898884895,0.1698995303390998,0.16288565005793298,-0.36156774738483016,0.0043861070939354985,-0.38026000953885974,0.001983860160619986,-0.16387192506080378,0.3606512325535605,0.14851140025316256,0.356042058842585
59,THEMIS2_proteomics,-0.48106531136839314,8.296000207711621e-05,-0.22792832334899063,0.09924566775259186,-0.09366515680553729,0.6925355919198637,0.2867549232942161,0.011345264980017065,-0.23331737513278084,0.08509162982089216,-0.4010718283582962,0.0009864587093501237,-0.19382610867803096,0.2580701432129616,0.18413254020868602,0.24499405674975422
60,NFIA_proteomics,0.48042978003337344,8.491035007664669e-05,0.29916349896361516,0.021652189382582277,0.09148303892550949,0.7000517458139542,-0.11615198755792103,0.368507562335352,,,0.07511992574696716,0.6822187338771408,0.03782134741269515,0.8862096060664426,-0.07564284698670695,0.6754756697172998
61,LANCL2_proteomics,0.47872313065582084,9.144414288701263e-05,0.18821665198267132,0.19359762093887023,0.11098308593919229,0.6279558794671082,0.30098089285215235,0.007599309354581045,0.5888080582787203,4.733914417889246e-08,0.7967283641326608,1.9705032109053468e-21,0.5758171115708379,2.040789063405042e-07,0.32078635342762024,0.026822707548841123
62,NIPSNAP2_proteomics,0.47888120867778167,9.144414288701263e-05,-0.038945010209936744,0.8510938890542501,0.048531684335297934,0.8508788338206589,,,0.42155672041097736,0.0005604159023069334,0.2699553552784687,0.04579128165565181,0.36929996425498035,0.005831295583744934,-0.020335864231242146,0.9181603918042592
63,ARHGAP15_proteomics,-0.4748493488654879,0.00010906225221072758,-0.2606401235977462,0.05219309171867995,-0.14814963243302592,0.534141737876778,-0.019800940876507925,0.8970139060309792,-0.31571400968009755,0.014962666552364527,-0.3888292496480555,0.0015057699491125738,-0.17714245092953174,0.3159166423855417,0.22761358705160964,0.27710826874997535
64,ARMT1_proteomics,-0.4735976201606943,0.00010906225221072758,0.11608693547561538,0.4815342984691389,0.09537310923169276,0.6861570371211363,-0.4737404840606695,6.04525832508329e-06,-0.16252695327784702,0.26608177053951,-0.1705983179477334,0.25902678340854296,-0.06826383646495125,0.7687735459201596,0.19445598778342618,0.20754221059908207
65,KCND3_proteomics,0.47461967486681345,0.00010906225221072758,,,,,,,,,,,,,,
66,ABCA1_proteomics,-0.47409469035326185,0.00010906225221072758,0.1008389638587399,0.5716511492800945,-0.06707508843365398,0.7861473503038969,0.04793883848212535,0.7507793681727624,0.06836415253342878,0.6893889647376592,-0.14180882103387601,0.37501493646558876,0.13544957034067567,0.4756281477799892,,
67,BCR_proteomics,0.47380283053930905,0.00010906225221072758,-0.18909393835873256,0.19127300861011787,0.23210718931923474,0.22732823608773348,-0.013114961852042648,0.9344173323926668,0.1970146624824551,0.16228042769537127,0.004779761233455564,0.9869200720275411,0.33241166741173844,0.018126124085798154,0.046854819719675755,0.8091811908986603
68,RNF130_proteomics,-0.4754253341978527,0.00010906225221072758,,,,,0.06391941631671078,0.6480867299700033,-0.026478914937557385,0.8945330020794262,,,-0.1714850029539739,0.33258865690362394,,
69,ZYG11B_proteomics,0.4738725020249037,0.00010906225221072758,0.24384417723424123,0.07299159989200302,-0.07214975551760039,0.7660758086690794,0.14572504374483547,0.24182312044433296,0.4427123003127549,0.0002240489699880616,-0.07447486800240777,0.6851790127137969,-0.2527549622866702,0.10839546171423171,,
70,DOCK11_proteomics,-0.47347615851379904,0.00010906225221072758,-0.04783935765309494,0.8112799084174203,-0.056921587540502964,0.8204746038891995,0.2883338206186284,0.010854498391950124,-0.1738725971468975,0.2273494137876921,-0.2234823476197897,0.11466412654723428,-0.2671891339893949,0.08174030295178865,-0.03308249367236188,0.8680271898471259
71,FCGRT_proteomics,-0.4743710606768027,0.00010906225221072758,0.28412346988269976,0.03160791128696737,0.15505589251633872,0.46321845724928845,-0.05325374054624528,0.7094688317740176,-0.04912423461959952,0.7843393439660744,-0.2972067299371613,0.024079947586357665,-0.08403579212763293,0.7038475163166383,-0.14676157724734856,0.3636624069658369
72,CD14_proteomics,-0.4746481984106531,0.00010906225221072758,-0.08966725865794029,0.6069165187360347,0.14062568530362451,0.5163420056285493,0.252201482659813,0.028435032361636345,-0.09392059798782912,0.5626128666749538,-0.23904532272405463,0.08761397590914344,0.035939201128077934,0.8936771338912681,0.14241161369172614,0.380760271996367
73,PLCG2_proteomics,-0.4724528986019063,0.00011452353581161155,-0.31700907734899086,0.013690649560094779,-0.015868859124301277,0.9606346483255722,0.2686127470048235,0.01872484309941544,-0.40815336175374417,0.0008688948202442682,-0.3789496501144576,0.002082000095589623,-0.24446617693021405,0.12452818973254726,0.20798240431824433,0.17391251693933946
74,GGA2_proteomics,-0.47146549139865473,0.00011999428445311436,-0.31584601449872557,0.014183755644858903,-0.2465002768431197,0.19570939195469067,-0.4555283468975414,1.627604207377511e-05,0.22417895690524767,0.10082771663509996,-0.09637420900296263,0.5765090861118377,-0.2367548894894138,0.14067142720491954,-0.026906032757782423,0.9039295093681865
75,PROCR_proteomics,-0.470784064713155,0.00012025095504716426,0.28492465134333134,0.03088683558091619,-0.030131602452166346,0.9139358655025525,0.33602239239897996,0.0025589740258558564,-0.11581227906026814,0.45976198775355365,0.1571125621465987,0.3053847758133098,0.05116774636303982,0.835377605191449,0.0048225942218399764,0.9807582237543028
76,SYK_proteomics,-0.4708487814463348,0.00012025095504716426,-0.28774614632184,0.11207208186839714,-0.17828797999855558,0.3852229829297034,0.19342296201321732,0.10580901231560881,-0.24957772786869697,0.06305315806416228,-0.29842822926019574,0.023284050447698348,0.029967734445366753,0.9171166048568276,0.05921675263811085,0.7497323658745091
77,GBA_proteomics,-0.47079605765005716,0.00012025095504716426,-0.17063258103391438,0.24888659907992225,0.024992400053605313,0.9294122917771318,0.13238039078247127,0.29465509334327905,0.3739493032962086,0.002923871950384087,0.22258217903007177,0.11624609142515395,0.2013301193901407,0.23283784334238058,0.057723543326149235,0.7585554172727039
78,UAP1_proteomics,-0.4701864303894616,0.00012216647890428255,0.0055314220984899,0.9823595369683268,0.18730942691018887,0.35591119636139196,0.2758597031829649,0.015384863453886736,-0.13882031933219402,0.3567380260555569,0.11297572741310369,0.49215587455547755,-0.10112045929731511,0.6305945547268296,0.19773588478100723,0.19996369982460477
79,CTNND2_proteomics,0.4700018930346916,0.00012216647890428255,,,0.034536792538026,0.8974005746440457,-0.46810844401715357,8.113510077641087e-06,0.01233263861376993,0.9531339947889849,,,-5.9586768685782054e-05,0.9997473659389786,,
80,GMIP_proteomics,-0.4698996531247181,0.00012216647890428255,-0.2074382250327763,0.14416645569427958,-0.010928309681694337,0.9732388018775527,0.2355271303811929,0.042999349758319885,-0.07582767395645158,0.651588342415632,-0.48274154348997167,4.785406829541044e-05,-0.12811536013703795,0.508566842661534,0.07234963924193899,0.6870027218327686
81,APC_proteomics,0.46833309134661727,0.00013263358428977293,,,-0.03246273641256203,0.9166424465863591,-0.20338726880126015,0.08695400037503803,-0.007374624972461483,0.9713793061560798,0.0862871712710433,0.6261180211810146,0.19389014032699287,0.25791313244454966,,
82,ARHGAP24_proteomics,-0.4678576140628673,0.00013483493351569185,-0.0387669270316007,0.8628379341402955,,,0.1741477139377954,0.15047315402543904,-0.10951824878395551,0.4893997507206857,-0.14113723328218122,0.36650045048403235,0.16163757706465748,0.3688373708616221,,
83,CD4_proteomics,-0.46747903299664095,0.00013629232285767694,-0.1866297010488222,0.198911915068064,-0.1596337322338695,0.44724877493480725,0.1564835950338556,0.20424890690254455,-0.0952120324032581,0.5568651722343484,-0.4172324388659395,0.0005663144111505244,-0.16973340260391423,0.3392243954931457,0.02181586383537014,0.9272681311855328
84,NCKAP1L_proteomics,-0.4671625433058982,0.00013647702685706556,-0.198946477498884,0.16430486514589088,-0.2017636012073637,0.3115876895173086,0.08965575182899581,0.5027226330361418,-0.20228722612426908,0.14913961522283645,-0.4107485259871254,0.0007033500244935471,-0.2267763252453428,0.1605555462404272,0.18507448937041196,0.23180973183282022
85,ARHGAP30_proteomics,-0.4670639849246152,0.00013647702685706556,-0.2136205634589736,0.12830556594841672,-0.036147638977262794,0.8932609991046034,0.07678189452263579,0.5737998602120986,-0.28908539818745693,0.027404142320769907,-0.4656505687590924,7.918808947863144e-05,-0.18705421216643178,0.28170276332539185,0.22795816930255142,0.2359795511376377
86,PI4K2A_proteomics,-0.4666231050334723,0.00013851702691733392,-0.24549385670560253,0.07081677238026449,-0.07490128359644088,0.7569395631764614,0.15165115796456713,0.22041002816899133,0.043108047448974514,0.8167967042564332,0.13111085861012603,0.41165688782714077,0.1874667137819644,0.2802992976272935,-0.09912195821384037,0.5761361902935103
87,PIK3CD_proteomics,-0.4662648948315302,0.00013990804197056106,-0.18865328096460776,0.192775212667546,-0.21114127463974974,0.2850038990196109,0.09900859126833816,0.45474800215345973,-0.33176003913986385,0.00967690209446795,-0.17986923194070237,0.22851453372249528,-0.14737289990056077,0.4278691676437999,,
88,SCRN1_proteomics,0.46596514982339154,0.00014025313898467377,,,-0.003902350442719499,0.9899554035945325,-0.04683346369116311,0.7463506647770725,0.20160217198367492,0.15073170085778137,0.0009591698393710685,0.9968095762074635,0.16166732195157896,0.3688373708616221,0.050848408619130155,0.7893124209420552
89,BLOC1S1_proteomics,-0.4658473823629272,0.00014025313898467377,0.05908188270175691,0.7568066271482912,-0.13105394487241817,0.5504864351420506,0.20931179877958306,0.07715616444270358,-0.20600326763311105,0.13970082510577264,-0.1735844766088961,0.24829255959403135,-0.19171757151109473,0.2654194950577904,-0.08361525796339805,0.6372137777591986
90,LDLRAP1_proteomics,-0.46540089073266905,0.00014245553008060063,-0.3121391279245416,0.015529567605003451,0.1649222189610523,0.4296965515722128,0.13847804356193785,0.26963162700752774,0.018082186958357185,0.92785364602983,0.0710655099349286,0.7008503774374127,0.1220266855019854,0.5385908289726969,-0.3075486254228925,0.21549889473343564
91,NPAS3_proteomics,0.46517664566307715,0.00014246388846860696,,,-0.20330285065722808,0.5472564869176166,,,,,,,,,,
92,FYB1_proteomics,-0.46503494439218146,0.00014246388846860696,-0.23182289517448643,0.09248599323360727,-0.07457828561870374,0.7580528072825184,,,-0.2776553814679984,0.03570133571658137,-0.3708165975212031,0.002720017086427261,-0.17935615655496615,0.3082027488727908,,
93,RASAL3_proteomics,-0.4645787127341439,0.00014453169687359734,-0.2030797832340734,0.1546361748115384,-0.17144022271732878,0.4069610947137917,0.02579154617410949,0.8649744422004634,-0.28262273787687703,0.032020741894985584,-0.42493070884197964,0.00041056276433856147,-0.21819184819896517,0.18285146797968513,0.32643367729703243,0.03398398990356774
