Comparison,Correlation_Gbm,Correlation_hnscc,Correlation_Luad
TRAF3IP3,-0.4537069264726966,-0.30440296349242313,-0.3030530630380918
CTSL,-0.4530784324156623,,
INPP5F,-0.452337339773245,,
MSR1,-0.4518416229187484,,
TBXAS1,-0.4517004156979906,-0.3694256012711927,-0.3573043796713608
COL6A3,-0.4506960778806665,,
NAIP,-0.450599041426451,-0.2963117721929729,
OTULINL,-0.450567114368572,,
FGD3,-0.4505039970948786,-0.3249135358972597,-0.2749275677867784
COL1A1,-0.4504654484371207,,
RIN2,-0.4499853188856706,,0.2897100157853518
RGS12,0.4498798737719337,,
GAS2,-0.4697398983127423,,-0.4247031694687673
PHLDB2,-0.4490432852775595,0.2741413892400075,
TNFAIP8,-0.4487992023446223,,
MYO10,0.4474781939588647,0.3706030282877606,
FCGR3A,-0.44714792640110335,-0.341007632865645,
VAV1,-0.44714281575333015,-0.43946391089850745,
MAN2B1,-0.4470946229040094,,
HEXB,-0.4468664074316057,,
IL18,-0.44685949345758735,,
LIG4,-0.4459812151698548,,
B4GALT1,-0.44594460701449457,,
GAA,-0.4458984482707353,,
ST6GAL1,-0.4456766956565269,-0.4310267641993515,
EMILIN3,0.4448454995715303,,
TBC1D2B,-0.4447880007431165,,
RNASET2,-0.4446926822173949,-0.3148212858831092,
ACSL1,-0.4430988657917541,,
TMX2,0.44247121596391603,,
AFAP1L1,0.4424701949535215,,
PTBP3,-0.4421726263221297,,
HLA-DMB,-0.4420053958513874,-0.29054674900402244,
GPSM3,-0.4413199028416614,-0.4163502879889822,-0.3038027692637732
CTSS,-0.4413047063447187,-0.4785301637263124,
TYROBP,-0.4398210914081671,,
B3GLCT,0.4397362703871937,,
CD300A,-0.4396928026611209,,
ADGRG1,0.43904986726272655,,
NF1,0.4390237262660885,,
PITPNC1,0.4389280514887456,,
TFRC,0.4387652236476279,0.3265898288225306,
TPMT,-0.4386762540766719,,
GMFG,-0.4382236838709577,-0.33682161247322634,-0.41759865020681786
TES,-0.43812580224901176,,
STXBP2,-0.4378059058846811,,
FCER1G,-0.4375775282144457,,
ABI2,0.43736669249384297,,
PCDH19,0.437345661196642,,
VAMP8,-0.4371798002477917,,
ELOVL2,0.4369619362258975,,
CXXC5,0.4368327665975318,,
RCSD1,-0.4360327950753824,-0.4658579068807712,-0.3771271851475395
TRIM9,0.4355361097258303,,
NEDD4,-0.4349245255836749,,
OTULIN,-0.4348584303290468,,
SLC1A4,0.4343277691531323,,
ARHGDIB,-0.4342854740521416,-0.4172130431511783,
DOK3,-0.4331266451370768,-0.3211521121775889,
TPD52L2,-0.43283322233579696,,
SNAPIN,-0.4324808050285488,,
NLGN3,0.4324734096342814,,
CHDH,0.4323313546635734,-0.3060475383810075,
AMPD3,-0.43196184325911535,,
PIK3AP1,-0.4317342235852393,-0.4734454453412432,
ARPC1B,-0.4314725422377172,,
TNS3,-0.4313928875879236,,
WDFY4,-0.4312759004135461,-0.3763887693856817,-0.32135192591957873
ARHGAP22,-0.431206827760685,,
MYO1F,-0.4307765840534468,-0.375708563229194,
CSPG5,0.4307286699443128,,
YWHAE,0.4301541477005727,,
DUSP23,-0.4299489119185799,,
DOCK2,-0.42884069263366176,-0.4400847028736206,-0.2917019737883516
PGM1,0.4282548716357236,,
FHL2,-0.4281008737367134,0.3478585302808238,
CDKN2C,0.42719733165047696,,-0.2702152414304878
CTBS,-0.4271931207859735,,
PAWR,-0.4271896496512475,,
IL16,-0.4265713290680917,-0.47871634249808104,-0.3970557231852716
DGKZ,0.4263280321554888,,
UPP1,-0.4262618708725739,0.26790222075797737,0.41254835496692
ALDH7A1,0.4262293120626578,,
FCGR2B,-0.42602763013464,-0.2749177918882426,
HCK,-0.4260010610637584,-0.2972727750269033,
GAB1,0.4258739014606532,,
PLAUR,-0.4256393559046623,0.27850352709489623,
CLDN10,0.42562711333320014,,
SERPINB8,-0.4256142933763225,,
TMED5,-0.42530730301280817,,
PTPRC,-0.42495788600673146,-0.4023965480766871,
CPNE2,0.4248405049107025,,
HGF,-0.4438754601660816,,-0.4076931163179989
PTPN18,-0.4238355954905362,-0.4258698642603373,
WIPF1,-0.4238181973608884,-0.4332703408113532,-0.2875829935780019
BTK,-0.4233800315892208,-0.4548727098159328,-0.2780027066666871
ARPC3,-0.4233302584972303,,-0.3016987234555035
NAGA,-0.4229703523952185,,
AHR,-0.4227607316675828,,0.3818563584763833
GIMAP1-GIMAP5,-0.4226368649588044,-0.4496828072402679,-0.26666447246282776
DPYD,-0.4222140537304998,,
SULF1,-0.4410860997763089,,
EDNRB,0.4217204154726886,,
SLC6A9,0.4215702800908227,,
TLR7,-0.4214657674336453,,
NANS,-0.4214297954217941,,
TCIRG1,-0.4214257021892915,,
LUZP1,-0.4213159483758319,,
GIMAP4,-0.4212923279613036,-0.3986168265735719,-0.2898649042485531
STAMBPL1,-0.42122833188373415,,
CNPY3,-0.4211264967824083,,
MYO1G,-0.4211167115526103,-0.3895294803242211,
RASSF1,-0.4617734428726475,,-0.4307299619666217
FPR1,-0.42089503362601977,,
ALDH3B1,-0.4208084927416039,,
PTER,-0.4203613592944818,-0.30674012653466104,
RALGAPA1,0.4202735232277472,,
NKAIN3,0.4222427316581944,,
LILRB1,-0.4197620483657131,,
PLBD2,-0.4196912845112893,,
HEPACAM,0.4193243321972752,,
KBTBD6,0.4193132437143131,,
NOVA1,0.4189851266128369,,
BRI3,-0.4189446141231125,,
ACSS1,0.4186308268749209,,
SLFN5,-0.4184524366691809,,0.2723677879141652
FGL2,-0.4183446680806845,-0.4335338962802843,
COL1A2,-0.417762961922836,,
RAB11FIP1,-0.4365183610279324,,
EVI2B,-0.4174054665566349,-0.3359740579087178,-0.2627669804992079
ACSBG1,0.417256577986408,,
FLNB,-0.4172346263709471,0.3484908637639775,
MRC1,-0.4171237639253955,,
HCLS1,-0.4171020146537781,-0.4407619945821126,
SERPINB2,-0.4827558458776459,,
BLOC1S5,-0.4163216726122936,-0.4299276903252824,
FHOD1,-0.4162674963657118,,0.26201017905844504
EHD4,-0.4156646681960542,,
HMGA1,-0.4154867251670677,,
HEXA,-0.4154743813952714,,
SCIN,-0.4154529256827804,,
FAM49B,-0.4154224486799629,,
HPS5,-0.4150805145291152,,
TRMT1L,-0.4149458098301448,,
DEF6,-0.4148077668451957,-0.3215243772737957,-0.2946458855132201
HSPBP1,0.41456606897323467,,
TUT7,-0.4145261482995832,,
CTSA,-0.4145160484365489,,
NTAN1,-0.4143712413352745,,
IRF5,-0.4331115903040691,-0.4699488782845669,
ZBTB47,0.4143113269248181,,
NFKB2,-0.41429221012761336,,-0.40788741152781227
RHBDF2,-0.4141361962652817,,
EPN2,0.4140606955147329,,
LRRC25,-0.41365897012503294,,
MARC1,0.41363993108833264,,
POU3F3,0.4131017596264,,
ARHGAP10,-0.4130586731656679,,
NHS,-0.4129886135815363,,
ACSL4,-0.4126802038742674,,
ITGAL,-0.41264408258515983,-0.4438449068890873,
ITGB1,-0.4123638693676748,0.3473603092996617,
WIPF3,0.4120990789075213,,
TYMP,-0.41204598504497547,,
LRMDA,-0.41176039732682457,,
CTHRC1,-0.4116504665307511,,
ENTPD1,-0.4109100759710935,-0.3519900752473725,
FBXO17,0.4104407031390381,,
FBP1,-0.41041375252678935,,
SAMSN1,-0.4101538826517691,-0.27543275786854154,
ZNF185,-0.41006583681591496,,
P2RX4,-0.4099886887798543,,
FOXP1,-0.4522307372496968,,
LPXN,-0.4096993086044339,-0.37065608620013335,
PDGFA,0.4129047933502273,,
RELB,-0.4087096386196151,,
GLB1,-0.4085894131018872,,
MYOF,-0.4084881177494487,0.342519899061326,
DDR1,0.40830140973003015,0.2686670916935848,
INPP5D,-0.4081806069217912,-0.4400583857621493,-0.2719333361211945
CARD11,-0.40816321074792977,-0.4048202958078945,
CAV1,-0.4079974999455609,,
CLIC2,-0.4075197024185953,-0.4062465297524333,
CDC34,0.4074059174559267,,0.3354557618790956
CERS1,0.4071543267060205,,
PTPRZ1,0.4070490288685629,,
CRYBG1,-0.4068802113983254,,0.31341676918187106
WASF3,0.4066422126456417,,
NFKB1,-0.406439468334648,,
ARPC2,-0.4063273917893301,,-0.2927053048353768
MYO1C,-0.4059147320458793,,-0.3358334732067911
CACUL1,-0.4059102128717704,,
PYCARD,-0.4058488671481377,,
GPX3,-0.4053625710111532,,
ADGRL2,0.4050506627240138,,
FGB,-0.4049360602227565,,
CCNDBP1,-0.4047649460274346,,
IL4I1,-0.4047159052383673,,
LRMP,-0.404324668295278,-0.3420216403731371,-0.2785986438135194
PLEKHO2,-0.4036127628005014,-0.34548879828584084,
CTH,0.4035097965983007,,
FCGR1A,-0.4033354510682863,,
SLC38A3,0.4033151382147209,,
CD2AP,-0.4032292148942779,-0.2702917601921166,
DNMBP,-0.403173371414394,,
PFN1,-0.4026947909828807,,-0.3702617746389454
FMNL1,-0.4026844501521673,-0.3651388094817941,-0.29378011145663463
DBI,0.4021201509340753,,
SLC1A3,0.4021191873892645,,
PTPN6,-0.4020169106226247,-0.411321190584976,-0.3719903148809657
DMRTA2,0.4195991712828893,,
ARL4A,0.4976062686784009,,
ABCD1,-0.4008443531187188,-0.3091011663493006,
LAIR1,-0.4005065889292933,,
PPP1R1C,0.4001850907338539,,
UBASH3B,-0.4001597279916402,,
MAGED2,-0.40013391079197663,,
ITGA4,-0.3996057835812449,-0.3356653844655365,
COL14A1,-0.3995424007342699,,
ILDR2,0.39953215931646496,,
NRBF2,-0.3994514017128499,,
TBC1D8B,-0.4176239854901905,,
TLR1,-0.4174059480487964,,
PTPRA,0.3989740691740296,,
POU2F2,-0.4624454522783024,-0.4154489025835719,-0.3708639546423269
MAGI1,0.3988067725464009,,
GIMAP6,-0.41697283505827065,-0.3611911680513787,
EHBP1,-0.39872179470644703,0.3206793187023649,
RUSC1,-0.4375827899536873,,
AOAH,-0.3982750748919244,-0.3453007146966486,-0.2907171345503743
PSAT1,0.3979466242971892,,
NT5DC1,-0.3978329599169264,,
MLX,-0.4157786812190126,,
TLR2,-0.3972848596462735,,
ASIC1,0.3971460115779735,,
SEPT7,0.3970678329466579,,
LACTB,-0.3970020853597887,,
FOLR2,-0.3966539984038359,-0.3235351416241986,-0.2763594401769126
DGKA,-0.3964967855996573,,
GIMAP8,-0.3962941148471736,-0.4673424132737701,-0.3715955247598312
FGG,-0.3962754476192997,,
ANKMY2,0.3959198994881884,,
SEPT11,0.3958709661263328,,
ADCY8,0.3955496008719128,,
CD163,-0.39547616793666257,,
LRRFIP1,-0.3953881522168185,,
RBM47,-0.3951002569666133,,0.32089041867231805
SALL2,0.3950670279171111,,0.3331717626366315
MCC,0.3950186172926452,0.2874013391198764,
SRPRA,-0.39456796349910506,,
EVL,-0.3944477315294467,-0.3773487993726072,-0.351042338119793
FEZ1,0.3942233721690001,,
CCDC88B,-0.3940931569868417,-0.3152113044407828,-0.30931580866695896
PIK3CG,-0.3940482187861718,-0.4024840049333565,
STAT6,-0.39394272426454735,,
ELP6,0.3939022496373432,,
CNPY2,-0.3935116113614139,,
MAP3K3,-0.4111817273420191,,-0.29263559698494146
KIF16B,-0.3929047302516979,0.2873609216716744,
SELENOM,-0.3928279689178256,,
NFATC2,-0.3926023250196009,-0.4575363475179721,
TNFAIP8L2,-0.39257182507927146,-0.3756269287295837,
LCP1,-0.39249900664722415,-0.3243886196771405,-0.33398659758915433
RFX4,0.3920926355422456,,
SERPINB1,-0.3920407666033816,,
MAP2,0.39198267063941095,,
STARD13,-0.3918691141521625,,
RGS10,-0.3918117211696854,,
RIN3,-0.3917793277941802,-0.3580825617100261,
LFNG,0.4114759865731353,,
PDZD2,0.3913681002774162,,
GIMAP1,-0.3908771779854077,-0.4029098239851556,
SIGLEC7,-0.3908164309203313,,
DTNBP1,-0.39041722015349145,-0.3352329283623577,
SMARCD2,-0.3901865118653788,,
NDN,-0.4070998386462057,,
BLOC1S4,-0.3890819796037153,,
FBN1,-0.3890600116091279,,
CYTH4,-0.4273470555038196,-0.2944344442017075,
AOC3,-0.42480934386139946,-0.3125458523499497,
MGAT1,-0.3888640953032624,,
SEMA6A,0.3886851478050917,,
PSTPIP2,-0.3886367733307035,,
RGP1,-0.4505272690669573,,
TMEM51,0.38806162845641534,,
P2RY1,0.3879329669018331,,
PCDHGC3,0.387861058002283,,
PPP5C,0.3878299368469947,,
POU2F1,-0.3877721888290956,,
CAPZA1,-0.3877653201176855,,
ARHGAP17,-0.38744165048541934,,
INKA2,0.4051271791310613,,
C3AR1,-0.38719349078088616,,
PTPN7,-0.3869766328697451,-0.3383404855231624,-0.35413097456969705
C2orf72,0.3868574740195861,,
NETO2,0.38659590984877024,,
SYNGR2,-0.3863789959255641,,
PAPSS2,-0.3861106308437481,,
MBD4,-0.3860305835609997,,
ATP13A3,-0.38592421967753066,,
NFIX,0.38581878930650815,,
PCMTD2,0.3853512335433567,,
MARC2,0.38508963954026426,,
TNFAIP8L3,-0.4022236938039388,,-0.4277237785237742
ARMC6,0.38421893045464384,,
C1QB,-0.3839822720197488,,
YES1,0.3837622605810781,0.3455594680441884,
ACBD4,0.41918933750642334,,
ANPEP,-0.3836084658525468,,0.27251177005671817
KBTBD7,0.4189318832390685,,
PPP2R1A,0.3833203756976344,,
CD33,-0.3832688389438477,,
G6PD,-0.3832340889534391,,
ZNF521,0.38317234641120057,,
EPS8,-0.3831198895787356,,
SEMA6D,0.3830671382621169,,
APC2,0.3830458272247488,,
B3GAT3,-0.3828176753313266,,
TPK1,-0.38260485202518607,-0.3108840891368028,
FBP2,-0.3823398698995081,,
ALOX5,-0.3822872542592339,-0.2744756427264513,
DSC2,-0.3822725673198023,,
MTHFD2,-0.3822647349915057,,
R3HCC1L,-0.3821348264674871,,
LARP4B,-0.3821236317306664,,
TRAF1,-0.3817067358470979,,
NAT14,0.3816435193706833,,
SIGLEC8,-0.4169865333569367,,
DENND1C,-0.3991183432285316,,-0.2836858646130387
CAV2,-0.3811347164033416,0.28824895142969265,
SOX8,0.3810834186416881,,
PNMA1,0.3810763173519559,,
SKAP2,-0.38104144834529896,,-0.2689530744956728
BCL10,-0.38103971787615976,,
ZNF853,0.4163324283633691,,
FGA,-0.3808888887386007,,
SIPA1L3,0.3805134948969272,,
MLKL,-0.37970969241399055,,-0.2965935213598925
VWA5A,-0.3796734211304131,-0.3764894838324736,
ZFYVE16,-0.3793962158340635,,
BCHE,0.3792644877810271,,
NDRG2,0.3788614489898392,,
HMGCS1,0.3786845329235846,,
EPB41L5,0.3786843032718903,,
SDC3,0.3786573721956134,,
FST,-0.3979222575369044,,
IPO5,0.3780462822533035,,
SDC1,-0.3780422993381519,0.3702091646544996,0.31569061435534496
LRRC47,0.3778107235244928,,
SHOC2,-0.3777588599693792,,-0.2778125431094801
PECAM1,-0.3774539664801754,-0.4779330904632045,
CD84,-0.3772866130143935,,
CAMSAP2,0.3772588471341664,0.41541673440419147,
IKZF1,-0.3771072006771064,-0.4017369571387324,
ACTR2,-0.3770503123017503,,
RSU1,-0.3767143586096389,,
EMB,-0.4114928778993365,,0.33361194115560777
VANGL2,0.3763389327615382,0.31499080599517104,
ATP1A2,0.3763355663911891,,
TMEM179B,-0.3934368870119791,,
SEZ6L,0.37568242262393947,,
ITGB8,0.37551510675366095,0.4008437150067259,
SH3GLB1,-0.3752657889477602,,
ZHX3,0.3752564357288004,,
DOK1,-0.3752386924655659,-0.3526652900795979,
ABCG1,-0.37522738860857,,
CDH6,0.3747778093639797,,
SRGAP3,0.374681271450676,,
FTO,0.3746433646237063,,
MFAP5,-0.3745527945052541,,
SLC7A11,0.3745283992793051,,
RLBP1,0.3740516299365201,,
C2,-0.3738105608189829,,
MAPKAPK2,-0.37380392790261385,,
SERPINA7,-0.3737323463448261,,
MEF2A,-0.3909829681060932,,
BIN2,-0.37356055163434976,-0.4664942654255621,-0.3161282602916736
SNTA1,0.3735399197568098,,
ABRAXAS2,-0.3733315901435542,,
HIP1R,0.3732700219568438,,
MAP3K2,-0.3731850787282377,,
ARHGAP9,-0.3730692598974983,-0.300843765794352,
FAM219B,-0.3726263137201912,,
TXNDC5,-0.3726049898938227,,-0.32586771014741145
COLEC12,-0.3726036582635239,,
ARSB,-0.3725753998120905,,
BST1,-0.3724119850517367,,
SUB1,0.3723300216461592,-0.2798264618375527,
CNNM4,-0.3723240128359375,0.2844076404023497,0.27061644402634744
SLITRK3,0.3722045348544796,,
MAPK13,-0.4092096496132467,,0.2792365828322856
SEPT2,0.37179256392147897,,
SEPT1,-0.4086561248153019,-0.4621887773977032,-0.3749046702109369
MAT2A,0.3715557204291785,,
F13A1,-0.3714274338102035,,-0.26242985446014755
MPDZ,0.3711758699937137,-0.3817899131630796,
FUCA1,-0.3710356484250017,-0.3248929874764853,
STK10,-0.3710072574688166,-0.353202366441315,-0.2732074940314969
TMEM47,0.43107490849408203,,
MVP,-0.3709749515839745,,0.31835536508664986
CEP78,0.3708322967470391,,
CAP1,-0.3707490114748184,,
DCLK2,0.3705917110177973,,
TPM3,-0.3700620681314695,,
GSG1L,0.594952588656656,,
RAI14,-0.3699975062056495,,
LSP1,-0.3699416780625621,-0.3456325541860066,
COL15A1,-0.3694814299479927,-0.2999342567048345,-0.26683573314660863
FABP4,-0.3692002642340195,,-0.3153043832454113
PTPRJ,-0.3691836692055672,,
LRRC4B,0.3691644851166152,,
DOK2,-0.3862487983342143,-0.4292908889983384,
SUMF1,-0.3689351436444003,,
PCTP,-0.3688736311380297,-0.3644661546158969,
ZFAND1,-0.3685762135567205,,
ERBIN,0.3685377971587761,,
VCL,-0.3683183134509628,,
CYP7B1,-0.3682928164795309,,
TGOLN2,-0.3682001508462874,,
SLC20A1,-0.3851295664052874,,
POMT1,0.36778193705959705,,
PSD2,0.3674264297288909,,
F10,-0.3673876933337945,,
TLN2,0.3673087217598948,,
DENND3,-0.3669389846332937,,-0.3528941592829694
COMMD4,-0.3667888800331448,,
DGKG,0.3667313108222141,,
EML4,-0.36651357777670224,,0.3967119714949373
TBC1D8,-0.3663757799589401,,
AHCYL1,0.3661380038168845,,0.3488739584145786
DDO,-0.3656662247315678,,
BLOC1S6,-0.3656573725089364,,
FAM151B,-0.3653206152865701,,
MKNK1,-0.36520761912544303,,
PRMT5,0.3651861651006407,,
CSF1R,-0.3651030859462144,,
GC,-0.3650907816993151,,
SEPT9,0.3647881303163169,,
SERPINF2,-0.3647635898477075,,-0.2887373028401161
BACH1,-0.3647400801446048,,
IGSF6,-0.4011780012950473,,
MNDA,-0.3646897914453881,,
CST3,0.36463110585142383,,
SMARCD3,0.3645388544723389,,
BCAN,0.3641277213047557,,
ASCC1,-0.364016711539228,,
CFI,-0.3638984730040469,,
FERMT3,-0.36387895937457615,-0.4481105808159223,-0.2829655314328778
ACP2,-0.3638616554587999,,
MT3,0.3638336397855256,,
DENND2A,0.3633536615614188,,
SMYD3,0.3628521722280213,,
CCDC50,-0.362731286503831,,-0.3551808192385384
YIF1B,-0.3626144156078603,,
GFPT2,-0.3624745755177262,,
VPS50,0.3624075211444344,,
HFE,-0.3791308703613081,,
ARHGEF26,0.3619504593045776,,
S100A11,-0.3619218525477411,,
CD109,-0.3618387175697829,0.5140019229435475,
GLCE,-0.3616275992146434,,
MILR1,-0.3977680761036057,,
SYNPO2,-0.3615734670331545,,
KIF21A,0.3615126318116951,,
SLC26A2,-0.3610927722868609,,
SEC24C,-0.3607551512376921,,
LTBP2,-0.3604393979283915,,
CDK6,0.3601296394614616,,-0.3043224756572464
TBC1D22A,-0.3600481574295296,,
MAFB,-0.3599738504300736,,
MSRB3,-0.35994570894883016,,
GDAP2,-0.3599428348225043,,
HPS3,-0.3599116361823113,,
PDCD6IP,-0.3598320162173669,,
ADGRB3,0.3596915530926279,,
PHGDH,0.3596728937391537,,
RNF180,0.359600463915767,,
GSTO1,-0.35954528204549274,,-0.3348989616666405
VPS26A,-0.3593586296780122,,
LY96,-0.4478720257189835,,
FAT3,0.3590886809478818,,
SLC20A2,0.3589373884967577,,
CD53,-0.3588536156536186,-0.28156624335955216,
SRPX2,-0.35866741612087266,0.2707697409614096,0.3098471267003894
PARP4,-0.3586205596653914,,
A1BG,-0.35849885166853845,,
DAPK3,-0.3583710809468912,,
RGS19,-0.3582556207611165,,
CYBB,-0.3581606119285581,,
GNS,-0.3576650647431541,,
ATP1B2,0.35757337274357753,,
ARPC4,-0.3575291437739375,,-0.2948424544928747
LIMD2,-0.3572826575928563,-0.27936737074265383,
TSPAN14,-0.3570867074383971,,
HLA-DMA,-0.3736784021111519,,
BLNK,-0.35690614230215506,,
FOXG1,0.3715587388510082,,
PHKG2,-0.3568916046560352,,
CALHM5,-0.39254840224613785,,
RNF157,0.3567544460434098,,
GNA12,0.3565882281609525,,
ALDH4A1,0.3564895579265557,,
SLC2A5,-0.3563939482540754,,
DDR2,-0.3560788617287278,,
LETM1,0.35597656944032274,,
BICC1,-0.3559484112107301,,
CHST3,-0.35589793689205784,,
CCRL2,-0.514223678723451,,
TBC1D16,-0.3723024628422389,,
TREM2,-0.3557091776125028,,
PLXDC2,-0.35568790528370753,,
TGFBI,-0.3552049833758109,,
AP1G2,-0.3551940717442309,,
RAB6A,0.35513978765548315,,
ISLR,-0.35507847293022443,,
HK3,-0.3550444606852368,,
ECM1,-0.3550153293635672,,
FAM114A1,-0.3549676884425736,,
ASTN1,0.3549655991544428,,
SLC6A11,0.3548616203314197,,
ITSN2,-0.3547506828862561,-0.3295608764396142,
C8A,-0.3546795561801017,,
DPF3,0.3546683648599458,,
ITGA3,-0.3546665537963395,0.28800161955928977,
CRYBB1,-0.3546357842932302,-0.6957970298362244,
NOTCH1,0.35463115033557435,,
ZNF316,0.35427564897305497,,0.4130672388098267
DCLK1,0.3542402833219763,,
TBC1D2,-0.3541710507258718,,
ECHDC1,-0.35401105627119656,-0.3905817666044027,
CTBP1,0.35398732853856024,,
C5AR1,-0.3536547077489225,,
ADAM28,-0.5574259216303488,,
LUM,-0.3529983459610332,,
GIMAP7,-0.3529221592472273,-0.44404945238790944,-0.3834540004100019
ITGB2,-0.3526580005947523,,
EML1,-0.3525618681338622,,
SLC22A5,0.35248987991816777,,
SERPING1,-0.3524185319748689,,
UNC13D,-0.3522706201076221,-0.2746832665777269,
TTC39B,-0.3522237383119165,,0.3520946780841935
SHROOM2,0.35212227010870506,,
SCAMP2,-0.3514079558675263,,
FLI1,-0.3676392747962505,-0.3654210967946806,-0.3410238714262723
BMP2K,-0.3508664005571573,,
ENPP1,-0.35066184953004903,,
RASSF4,-0.35041476860709914,-0.3875203747348511,
TTC19,0.3502408334173455,,
ANKS1A,-0.3501208799992487,,
HTATIP2,-0.3500091318621405,,
PTPN1,-0.3497352972098631,,
ENOSF1,-0.349410325366711,,
ARPC5,-0.3493002339969434,,-0.27030297819552546
DLG1,0.3492275366057465,,
